gene,mean_expression
Kansl1,0.43111488
Agt,0.42684245
Mef2a,0.42528486
Mycbp2,0.42404458
Sh3bgrl,0.42346928
Rbm5,0.42246115
Ddit4l,0.41942042
F11r,0.41883504
Ano4,0.4180986
Spag9,0.41794243
Phf21a,0.4140488
Tcaf1,0.41403717
Ar,0.4131594
Picalm,0.41082478
Egr1,0.41038325
Col11a1,0.4102409
Ralbp1,0.40850475
Spop,0.4079169
Atrnl1,0.4063608
Rai14,0.40459585
Col1a2,0.40419403
Fis1,0.40171632
Serpinb6b,0.40036955
Zcchc7,0.3980005
Cavin1,0.39398855
Grn,0.3939438
Klhl24,0.39295343
Frmd5,0.3927934
Prpf4b,0.39191183
Pdcd4,0.39097866
Tuba1a,0.38919884
Mark1,0.3883206
Arid4b,0.38811636
Akap13,0.38662735
Tcf12,0.3854191
Gstm2,0.38461074
Top2a,0.382777
Etv6,0.38065565
Slc18a2,0.37835056
Snhg1,0.37778127
Osbpl9,0.37675363
Heg1,0.3746084
Epas1,0.3745442
Nktr,0.37289882
Trpm7,0.37182674
Srek1,0.37166786
Wwtr1,0.37131178
Ccnl2,0.3713081
Ggnbp2,0.37048757
Aff2,0.36912364
Xist,0.36873752
Pcdh9,0.36832443
Pbxip1,0.36752963
Tnrc18,0.36610788
Slc8a1,0.36570677
Bmp2,0.3650092
Lrmda,0.36490816
Txndc17,0.36305472
Smg6,0.36263874
Ssr4,0.3598285
Tgfbr3,0.3592717
Arpc5,0.35870844
Ifitm2,0.35851863
Col4a1,0.3581205
Fbxl17,0.35629082
Rexo2,0.3549509
Ctsz,0.35420838
Hnrnph3,0.35178697
Gadd45a,0.35083187
Spin1,0.35071996
Mef2c,0.35018682
Adgrv1,0.3495019
Ccbe1,0.3490611
Ankrd12,0.34623802
Arhgap42,0.3460683
Mmp14,0.3433849
Trib2,0.34238735
Mgp,0.3418187
Pawr,0.34160283
Klf6,0.34113073
Hsd17b1,0.34078187
Ccdc88a,0.3399871
Maf1,0.33979675
Tmem50a,0.3396614
Insr,0.33876163
Mier1,0.33606875
Creg1,0.3358775
Jmjd1c,0.33564323
Gm2044,0.3348961
Kmt2a,0.33481082
Camk2d,0.33456078
Igbp1,0.3332372
Nfat5,0.3319711
Ptpn13,0.3314423
Pls3,0.3303427
Vezf1,0.33005777
Prkab2,0.32913354
Smarca1,0.3285102
Zfp950,0.32752848
Ccnl1,0.32748544
Atp6v0b,0.3268527
Rabep1,0.3267401
Sltm,0.3266934
Lmo4,0.32638532
Arl3,0.32579753
Slk,0.3247195
Wwox,0.3242879
Gpatch8,0.3235318
Ralgapa1,0.3221814
Col3a1,0.32200772
Myh9,0.32194382
Fmnl2,0.32078695
Cc2d2a,0.32075524
Eif4a2,0.320673
Nf1,0.320434
H2-D1,0.31964472
Srsf5,0.31831965
Prdx5,0.3176442
Chd6,0.3167073
Oxct1,0.31649488
Maml2,0.3160165
Psmd12,0.31586382
Herc1,0.3156328
Ech1,0.3155563
Usp33,0.31467894
St6gal1,0.31432498
Hexa,0.31352082
Rap1b,0.31275743
Ip6k1,0.31137383
Thra,0.31125525
Chka,0.31058362
Mdm4,0.31012335
2410006H16Rik,0.30987152
Dmd,0.30929777
Dip2c,0.30918095
Use1,0.3086147
Cpq,0.30849883
Mylk,0.30824122
Smg1,0.30790138
Itga9,0.30703202
Ptch1,0.3070215
Tmem176a,0.30690014
Gpc6,0.30562678
Rabac1,0.3051878
Ndrg2,0.30500695
Zfp445,0.30380306
Mxd4,0.3025824
Arpc1b,0.30227384
Wbp1l,0.3021398
Iqgap1,0.3020996
Trio,0.30138373
Phf20l1,0.3008421
Ppp2r3a,0.3003019
Ctsa,0.299455
Itpkb,0.29929155
Magi2,0.2986741
Pink1,0.29724956
C1qtnf7,0.29671153
Stag1,0.29611886
Cers5,0.29544476
Cacna2d1,0.29481053
Sgms1,0.29439718
Clic1,0.29229078
Tmem123,0.29107156
Sbf2,0.29083356
Kmt2c,0.2906409
Pcsk5,0.2889606
Hacd3,0.2887857
Abi1,0.28827873
Lima1,0.28701922
Sntb2,0.2865846
Nenf,0.28622875
Ctdsp2,0.28595963
Pura,0.28577754
Timp2,0.28561893
Cpt1a,0.28526798
Ankhd1,0.28526232
Pid1,0.28483263
Fcho2,0.28468117
Sdc4,0.2834899
Rnh1,0.2832068
Elf2,0.2826755
Pan3,0.28260466
Ptpra,0.28247264
Exoc4,0.28162563
9530026P05Rik,0.2815456
Serpinb1a,0.28151295
Utrn,0.28081965
Glrx2,0.2804618
Stag2,0.28034958
Nbea,0.2795008
Eid1,0.27930647
Mrpl24,0.27906296
Cflar,0.27876383
Stub1,0.27856356
Ubr2,0.27799305
Chd2,0.27780235
Epb41l2,0.2772752
Prss35,0.2770248
Tead1,0.27653188
Tle1,0.27639186
Akt3,0.27631485
Chmp2a,0.27537966
Nr2f2,0.27518758
Sri,0.27514228
Antxr1,0.27506667
Mkrn1,0.27361345
Myo9a,0.27318102
Nfe2l2,0.2722945
Pcmtd2,0.27227902
Rnf130,0.2722483
Tmed3,0.2722422
Pten,0.27211985
Dnajc1,0.27199638
Vamp8,0.27119985
Kidins220,0.27060464
Adamts10,0.2705221
B4galt1,0.26983282
Tpm3,0.2696292
Acadm,0.26943952
Fam214a,0.26943338
Ttc14,0.26934436
Pros1,0.26930794
Mllt3,0.26835227
Fcgrt,0.2682575
Appl2,0.2682356
Mtmr3,0.26792705
Idh3b,0.26780894
Tmem164,0.26772907
Nsmaf,0.2676108
Srp14,0.26645085
Acaa1a,0.2661703
Ank2,0.2660197
Tmem127,0.26537275
Adcy9,0.2648472
Tpm4,0.26245147
Nrep,0.26212776
Id2,0.26176065
Irs1,0.26011464
Aopep,0.2601139
Zmynd8,0.25949043
Wsb1,0.2589718
Prdx3,0.25892675
Psme1,0.2579495
Rabgap1l,0.25762343
Cd302,0.25732496
Pcdh7,0.25700432
Adck5,0.255936
Camk2n1,0.25582674
Kcnt2,0.25482213
4930402H24Rik,0.25414962
Fam172a,0.2536683
Leprot,0.2535036
Usp3,0.25335523
Nfkbia,0.25320297
Sncaip,0.253189
Paxbp1,0.2522004
Naxe,0.25188208
Fkbp2,0.25176227
Spock2,0.25162652
Dock1,0.2514262
Mbnl1,0.25110614
Coq8a,0.25094047
Cd200,0.24981615
Nrn1,0.24924563
Fhl1,0.24914546
Lsm14b,0.24913548
Spint2,0.24805425
Uqcc3,0.24713738
Cyb5r3,0.24709323
Erlec1,0.2469682
Col4a5,0.24505648
Col6a4,0.24490671
Lims1,0.24470109
Xrn1,0.24463125
Zfp36l1,0.24440342
Phldb2,0.24436176
Hint2,0.24401191
Kitl,0.24326086
Smoc1,0.2429119
Clasp2,0.24229658
Robo1,0.24213606
Arl6ip4,0.24196878
Zeb1,0.24182083
Pmpcb,0.24175459
Fnta,0.24146408
Stx4a,0.24142914
Sorbs2,0.24113645
Paf1,0.24067427
Lrch1,0.24055324
Syf2,0.24039412
Filip1l,0.24012797
Gem,0.24010302
Bnc2,0.24002948
Kcnq1ot1,0.23986907
Wls,0.23933405
Zfp704,0.23807113
Itgb5,0.23780471
Zfp652,0.23764041
Adamts6,0.23713025
Stk39,0.23680992
Runx1,0.23671466
Herc4,0.23609284
Coa3,0.23513697
Slc40a1,0.23495822
Crebrf,0.2348948
Meg3,0.23489076
Psd3,0.23476426
Chd9,0.23466708
Oat,0.2344798
Sdcbp,0.2343395
Cr1l,0.23422615
Plcg1,0.23422255
Parva,0.23409337
Fam160b1,0.23279805
Pkig,0.23252973
Pnrc2,0.23238015
Asxl2,0.23195316
Limch1,0.23161092
Fnbp4,0.23087543
Ldlrad4,0.23056968
Akap8l,0.23030823
Fam126a,0.2299161
Upf3b,0.22986335
Rnf213,0.22961363
Rin2,0.228661
Ppfibp1,0.22777809
Atl3,0.22655453
Arhgap6,0.22622229
Fhit,0.22621231
Nsmce1,0.22590084
Lamb1,0.22589721
Rbpms,0.22580819
Arid4a,0.22575703
Ndufa1,0.2257132
Myof,0.22504039
Dlc1,0.22502162
Mir99ahg,0.22499174
Prdm5,0.22488745
Babam2,0.22475773
Sash1,0.22436011
Agpat3,0.22378597
Cxxc4,0.22164035
Nsd3,0.22138317
Ldb1,0.22126962
Dennd1a,0.22046195
Lrrk1,0.2202345
Echdc2,0.2202177
Dlg1,0.22021025
Ccdc3,0.2201645
Gpx8,0.22015762
Irak1,0.22014575
Sobp,0.21990626
Map1lc3b,0.2196194
Arhgap10,0.21957858
Cntln,0.21952863
Plaat3,0.21911126
Acta2,0.21899381
Phpt1,0.21880098
Tbcel,0.21868844
Fto,0.21851806
Klf9,0.21845964
Acat1,0.21829362
Rev3l,0.21806067
Il6st,0.21798226
Ptgis,0.21781398
Star,0.21763603
Ctnna2,0.21711612
Zfyve9,0.21663086
Pgrmc1,0.21635999
Jtb,0.21592768
Ttc28,0.21580718
Pabpn1,0.21574679
Emp3,0.21563931
Crtc3,0.21468024
C1s1,0.21384266
Dcn,0.21370475
Cdkn1b,0.21358544
H2aj,0.21358085
Lix1l,0.21357249
Epb41l4aos,0.21328922
Spred1,0.21298635
Diaph2,0.21259642
2610008E11Rik,0.21210021
Acap2,0.21189956
Sbds,0.21151325
Dstn,0.2111716
Tbc1d5,0.21105145
Mocs2,0.21098004
Hsd17b11,0.21010159
Exoc6b,0.21007656
Cd47,0.20995583
Kcnd2,0.20932321
Zfc3h1,0.20898578
Ubr3,0.20898207
Eps15,0.20865008
Uhrf1bp1l,0.20861176
Atp11b,0.20854235
Hexim1,0.20829883
Mrps18c,0.20803408
Zmym5,0.20789687
Actn4,0.2076169
Rbp1,0.20761353
S100a11,0.20761351
Map4k5,0.20733686
Ubl3,0.20724905
Acadvl,0.20679243
Eea1,0.20673625
Ehd4,0.20670913
Firre,0.20669584
Col4a2,0.2065328
Amotl1,0.20609523
Nfx1,0.20581457
Rps6kb1,0.20490131
Scaper,0.20440903
Rpl27a,0.20408389
Uchl1,0.20360978
Trmt1,0.203489
Kctd1,0.20234184
Deptor,0.20192449
Lamb2,0.2016816
Rapgef6,0.20156553
Tgfb1i1,0.20121925
Cap1,0.20118873
Vps13b,0.20083998
Tmx3,0.20079027
Bcas3,0.20007505
Eci2,0.19983806
Fabp3,0.19930784
Tacc1,0.19922641
Kdm3a,0.19895701
Prkce,0.19884464
Nfix,0.19842878
Taf1,0.19841741
Extl3,0.19822295
Fundc2,0.19788447
Rpl12,0.19771741
Aup1,0.19734953
Mbd5,0.19709733
Cert1,0.19702467
Fam193b,0.19698255
Setd7,0.19684651
Large1,0.19591656
Ypel3,0.19555238
Smyd3,0.1954729
Zfp608,0.19447649
Dhrs7,0.19427784
Mical3,0.19424115
Sun2,0.19420236
Sntg2,0.1940315
Maml3,0.19313692
Sgce,0.1931335
Myo5a,0.19303674
Gclc,0.19250146
2610307P16Rik,0.19247657
Oaz2,0.19236282
Zfp609,0.19208948
Pcolce,0.19205189
Ctsf,0.1912701
Cbr1,0.19110097
Mrps24,0.19093543
Mrpl41,0.19086184
Adamts19,0.19049984
Csnk1g1,0.19014956
Plekha5,0.18968575
Slc25a12,0.18958692
Stk3,0.18948646
Itch,0.18940443
Anxa3,0.18940131
Rflnb,0.18936928
Ppm1l,0.18860932
Vti1a,0.18838353
Ccn1,0.18781419
Atraid,0.18751115
Akap8,0.18743823
Dbp,0.18729053
Marchf8,0.1872756
Dcaf5,0.18694367
Clk4,0.18681927
Wt1,0.18670061
Sc5d,0.18666771
Utp11,0.18602268
Plin2,0.18550943
Ei24,0.18513948
Itm2a,0.18508074
Tmem242,0.18507378
Selenow,0.18504293
Luzp1,0.18475999
Ilk,0.1845828
Gdi1,0.18428238
Adk,0.18402041
Nexn,0.18375477
Otud7b,0.18340121
Fbxl20,0.18336302
D10Wsu102e,0.18300664
Sgpl1,0.18294504
Scarb2,0.18278995
Clic4,0.18269475
Lpl,0.18243432
Ankrd10,0.18211411
Ccdc28b,0.18194565
Phyh,0.18177485
Rnf169,0.18171373
Fbxo32,0.18166603
Arl15,0.18157521
Mrps26,0.18120481
Gab1,0.18109338
Rab11fip5,0.180952
Ccdc107,0.18076432
Tmcc1,0.18006852
Nptn,0.18002525
Washc1,0.1799142
Ehbp1,0.1798356
Syap1,0.17944191
Shisa5,0.17937513
Clcn4,0.17916831
Ptprk,0.17910044
Rictor,0.17854294
Tmem256,0.17832604
Utp3,0.17820427
Abracl,0.17813882
Vasp,0.1780906
Svbp,0.17777635
Ston1,0.17741702
Commd8,0.17721
Ifitm3,0.17717104
Peg10,0.17695719
Tnrc6c,0.17659558
Myl12b,0.17648473
Ccdc59,0.17609546
Gsto1,0.1759937
Nelfb,0.17595758
Cdc42ep3,0.17592074
Dmtf1,0.17591219
Ago1,0.17535003
Arid5b,0.17530553
Rreb1,0.17529677
Sppl2a,0.17514071
Denn2b,0.17507033
Stx8,0.1750634
Cyhr1,0.17498691
Cygb,0.17489704
Add3,0.17442517
Pkd2,0.17437808
Mtln,0.17429402
Aff1,0.17401306
Cstb,0.17395313
Arhgef17,0.17388578
Ano6,0.17371331
Snhg18,0.17331374
Ak3,0.17307985
Thoc2l,0.17297083
Plpp3,0.17260826
Odr4,0.1723937
Trafd1,0.17198849
Tpm2,0.17180857
Pcmtd1,0.17169502
Zbtb38,0.17163238
Cenpb,0.17151827
Ift74,0.17138666
Eci1,0.17116493
Ccser2,0.1708281
Tasor,0.17080925
Nxn,0.17080821
Gstt1,0.17047514
Il11ra1,0.17034027
Mapk10,0.17031091
Abca1,0.17030562
Adgrl2,0.16996883
Tbc1d12,0.16994478
Ivd,0.16991352
Fbxl3,0.16979717
Sos2,0.16978109
Ddah2,0.16963801
Numb,0.16961361
Mien1,0.1692583
Phkb,0.16897607
Dynlt3,0.16883014
Pccb,0.16868816
4833420G17Rik,0.16865179
Sh3bp5,0.16808705
Ulk2,0.1678909
Mtres1,0.16766159
Satb1,0.16750348
Dpyd,0.16734503
Rmdn2,0.16720974
Lrrc45,0.16719054
Zc3h7a,0.16700824
Prxl2c,0.16693026
Gata4,0.16689223
Ccs,0.1667985
Srgap2,0.16662624
Axl,0.16638646
Fbxw7,0.16612805
Qsox1,0.16591914
Ezh1,0.16582185
Ctdspl,0.16575189
Zfp462,0.1657137
Snx2,0.1653966
Dync2h1,0.16512193
Rsu1,0.16506462
Armcx2,0.16497418
Prpf40b,0.16496088
Snhg5,0.16426702
Snhg20,0.16421805
Abcc5,0.16401096
Dennd1b,0.16398375
Pknox2,0.16393511
Psen2,0.16375813
Tmbim4,0.16374925
Hdac8,0.16303611
Rsbn1l,0.16289252
Rpl36,0.1628919
Map2k5,0.16288322
Msn,0.1623623
Itsn2,0.16225109
2610001J05Rik,0.16219969
Tagln,0.16214244
Mettl26,0.16210815
AC149090.1,0.16187473
Rnasel,0.16183306
Esyt2,0.16121863
Tbc1d4,0.16106318
Vgll4,0.16015947
2210016L21Rik,0.16005366
Cwc27,0.15995309
Pam,0.15989599
Cast,0.15986975
Slc25a36,0.15986504
Kiz,0.15981407
Vps41,0.15979142
Far1,0.15925588
Cdc37l1,0.15925458
Septin9,0.15920769
Pard3b,0.1591052
Stat3,0.15882456
Cyth3,0.15875103
Irs2,0.15865688
Fgd4,0.15806738
Cask,0.15803476
Cpxm1,0.15768273
Ugp2,0.1576307
Mkx,0.15761772
Cfap36,0.15741414
Dnmt1,0.15716955
Cst12,0.15714885
Naaladl2,0.15712093
Rasl11b,0.1568882
Sned1,0.15676524
Kifap3,0.15675293
Cep112,0.1566093
Ptprm,0.15657075
Rab24,0.15647967
Fchsd2,0.1564591
Plcl2,0.15632695
Timp3,0.15629947
Mmp23,0.15609203
Mau2,0.15604961
Commd1,0.155842
Washc3,0.15572815
Smo,0.1556794
2210016F16Rik,0.15523511
Flot1,0.15487877
Sparcl1,0.15483202
Nnt,0.15458548
Klc1,0.15450811
Snrnp48,0.15447673
Vnn1,0.15424947
Dennd4c,0.15400761
Chmp2b,0.15396835
Sesn1,0.1539661
Lrch3,0.15391052
Prr13,0.15381372
Peak1,0.15373474
Myl9,0.15327823
Anxa6,0.15326622
Irf3,0.15309526
Robo2,0.15308866
Cdadc1,0.15307488
Mllt6,0.15293607
Ror1,0.15273558
Hspg2,0.1525232
Atp6v1a,0.1524989
Adgrf5,0.15249644
Cat,0.1524837
Bmp1,0.15231805
Ppp1r11,0.15224867
Prpf39,0.1521412
Kat2b,0.15165623
Tmem208,0.1516179
Itih2,0.1513831
Rab11fip2,0.15124755
Oxr1,0.15116966
Jun,0.15105487
Bicc1,0.15103665
Synm,0.15103555
Senp7,0.15094793
Stx16,0.15087184
Tsc22d3,0.15084226
Krit1,0.15052685
Phc3,0.15050468
Gusb,0.15039687
Ddrgk1,0.15029015
Psme2,0.15019314
Ints6,0.14999744
Rai2,0.14964744
Zkscan3,0.14959493
Acadsb,0.14949632
Trp53inp2,0.14947207
Dctn6,0.14910753
Rhot2,0.14909472
Tef,0.14888647
Pxk,0.14878263
Pts,0.14871244
Fmc1,0.14861642
Cdk5rap2,0.14858666
Tspan6,0.14832485
Fgd5,0.14829208
Rab13,0.14808352
Hip1,0.14806552
Inhbb,0.14746363
Kansl1l,0.14745513
Ikbip,0.14725544
Cwf19l2,0.14720653
Poglut3,0.14714052
Ugdh,0.14699617
Dock6,0.14691067
Klf7,0.14682189
Vsig10,0.14656079
Cntrl,0.146235
Araf,0.14612412
Arhgef6,0.14605261
Nr1d2,0.1460017
Tns1,0.14598635
Birc2,0.14578846
Atg3,0.14577787
Znrf3,0.14570272
Egfr,0.14565466
Morc3,0.14559394
Pip4k2a,0.14553992
Ncoa1,0.14541635
Atp1b1,0.1453709
Klhl31,0.14501388
Bex1,0.14476
Mrpl27,0.14473733
Ccnd3,0.14464672
Gm2a,0.14460972
Tns3,0.14417507
Naalad2,0.14404577
Cbx6,0.14389868
Zswim6,0.14380756
5031425E22Rik,0.14354356
Vps28,0.14334781
Ppp2r5a,0.14330244
Metap1d,0.14329895
Mapk14,0.14329411
Adh1,0.14303471
Map4k3,0.14291744
Fam13b,0.14290434
Tmtc1,0.14287841
Trim56,0.14283302
Rasl11a,0.14253819
Mpc2,0.14248781
Nr5a1,0.14236768
Rit1,0.14219221
Xpa,0.14217149
Armh3,0.14214239
Scmh1,0.14205216
Pdha1,0.14198188
Dync1i1,0.1416525
N6amt1,0.14163576
Cramp1l,0.14158024
Arhgef3,0.14146295
Ubr1,0.14143074
Spen,0.1411287
Lmna,0.14092594
Sfxn1,0.1408139
Gxylt2,0.14077891
Gpbp1l1,0.14065614
Pex5,0.14058691
Arhgap17,0.14052607
Trim25,0.13980062
Angptl4,0.13950342
R3hcc1l,0.13947938
Immp2l,0.13938813
Gstt2,0.13893437
2310022B05Rik,0.1387738
Kif13b,0.13864365
Ppp1r12c,0.13861409
Tcf7l1,0.13814111
Kcnk2,0.13804847
Pdgfd,0.13795088
Ppm1e,0.13777828
Nedd4l,0.13757202
Sugp1,0.13755195
Zfp622,0.13753106
Tapbp,0.13736184
Zfp618,0.13729368
Pcp4l1,0.13721515
Kif13a,0.1372118
Fbxl7,0.13705379
Tsc1,0.13704205
Ptpn12,0.13686201
Usp25,0.13681944
Map2k7,0.13670214
Tmem160,0.1365459
Bin1,0.13648906
Wrn,0.13631521
Nfic,0.13616411
Dhrs4,0.13611288
Pbx3,0.1359978
Csad,0.13573118
Mertk,0.13556346
Susd6,0.13545658
Atp2b4,0.13542716
Rhoc,0.13542262
Prkag1,0.13533303
Npdc1,0.13525288
Smim11,0.13507009
Gpr108,0.13489756
Fbxw2,0.13489619
Stx7,0.13487314
Marchf2,0.13482563
Fnip1,0.13480672
Arhgap32,0.13479291
Lcorl,0.13473263
Mdp1,0.13464186
Stim1,0.1345047
Iah1,0.13433251
Man2b1,0.13423303
Lamc1,0.13421056
Gdpd2,0.1340421
Ube2e2,0.13403119
Mtss1,0.13397823
L3mbtl3,0.13383912
Fam102b,0.13376077
Depdc5,0.13371624
Dlgap1,0.13358621
Lpcat3,0.13356002
Vwa8,0.13347358
Trerf1,0.13345493
Tubgcp3,0.13341834
Dact1,0.1333793
Sh3d19,0.13330923
Commd6,0.13329297
Atp9b,0.1331626
Hdgfl3,0.13313039
Wwp2,0.13309576
Surf1,0.13301927
Myocd,0.13274239
Capg,0.13272764
Tmem106b,0.13238794
Map3k2,0.13234869
Ets2,0.13222
Nab1,0.13206272
Fads2,0.13194945
Ppp1r12b,0.13193442
Enox2,0.13184807
Snapc5,0.1318356
Trim2,0.13179843
Nos1ap,0.13171944
Ltbp1,0.13167977
Ank,0.13124128
Il10rb,0.13057955
Smad1,0.12970711
Pitpnc1,0.12963505
Tprkb,0.12958758
Pvt1,0.12932059
Anxa4,0.12906347
Etnk1,0.12902203
Taz,0.12878902
Ophn1,0.1287696
Wwp1,0.12870444
Gamt,0.12858717
Zhx1,0.12846671
Pkn1,0.1284612
Lama2,0.12844394
Rhob,0.12843381
Cplane1,0.1283422
Ptpmt1,0.12809207
Plec,0.12804422
Aprt,0.12800796
Igfbp5,0.12779924
Mrps11,0.12757495
Col4a6,0.1272946
Wdr41,0.12690273
Tmem205,0.12662879
Dnajc19,0.12632206
Dhrs3,0.12623957
Klf3,0.1261919
Frmd4a,0.12615943
Lyrm2,0.12615816
Skiv2l,0.12600718
Dleu2,0.12581132
Msantd2,0.12567478
Irf2bpl,0.12557682
Aamdc,0.12550135
1110038F14Rik,0.12546194
Pde1a,0.12538947
Ednra,0.12519832
Gnai1,0.12512264
Rbm47,0.12511234
Fam120b,0.12510794
Mitf,0.12486825
Pcbd2,0.124798745
Atp6ap2,0.12476375
Alas1,0.12473486
Lmbrd1,0.124717705
Ttf1,0.12464327
Tspan4,0.124619074
Rrp36,0.12461663
Gprasp2,0.124607265
Polr3gl,0.12446937
Capn2,0.124299645
Nr6a1,0.12361394
Bicral,0.123530135
Stxbp3,0.1234927
Ralgapa2,0.123460986
Sdhaf4,0.123435825
Sytl2,0.12314197
Apbb2,0.12313952
Shtn1,0.12309742
Ddhd2,0.123058885
Tmbim1,0.122999266
Hao2,0.12298137
Cox20,0.12292309
Scai,0.12288669
H2-T23,0.12282164
Abr,0.12280204
Olfr1033,0.122578904
Tbc1d23,0.122424
Syde1,0.12240281
Svil,0.12232634
Snhg8,0.12230382
Magi3,0.122186154
Nagk,0.12210579
Tbc1d9b,0.121810555
Dennd2a,0.12180953
Ctdsp1,0.12172942
Gm21992,0.121500395
Rnf180,0.12145132
Grik3,0.1211096
Chp1,0.12100803
Comt,0.12097335
Pld3,0.12093362
Fbn1,0.12089892
Trps1,0.12082115
Dtd1,0.120594576
Taok3,0.12048516
Col6a1,0.12030981
Ift81,0.120017946
Khk,0.11972992
Fibp,0.11965417
Lamtor4,0.11944387
Airn,0.11926085
Rims4,0.119197085
Tbc1d17,0.11910015
Man2a2,0.11907354
Ric8a,0.11903886
Rfx3,0.1189682
Smim10l1,0.11893621
Rerg,0.118935175
Plxna2,0.11877958
Tspo,0.118607014
H19,0.118601196
Ints6l,0.11853599
Bcor,0.11845832
Mt2,0.11839453
Rxra,0.11824819
Plcb3,0.11804708
Tmem159,0.11800975
Rapgef2,0.117793776
Ngrn,0.11776825
Fam114a1,0.11772496
Cblb,0.117683336
Brf1,0.11760496
Bach1,0.1175936
Map3k3,0.11751032
Armc8,0.11746799
Slc50a1,0.117415465
Lgals8,0.117281385
Plcb4,0.117195204
Arfrp1,0.11704568
Zfp503,0.116909556
Ciao1,0.116864175
Ctnnal1,0.11671663
Ssbp2,0.11657968
Dapk1,0.11656003
Adamts9,0.11653609
Cotl1,0.11642766
Git2,0.116364405
Iqgap2,0.116109654
Rassf3,0.11602473
Inpp5a,0.11588901
Plau,0.11586654
Irf2,0.11585565
Gprc5b,0.11581447
Pibf1,0.11578428
Aldh6a1,0.11567204
Bag3,0.11563948
Bpgm,0.115633175
Ccdc66,0.11557142
Rnf13,0.11542278
Ccdc191,0.115024
Ggh,0.115015775
Cog3,0.11481116
Man1a,0.11471085
Zcchc14,0.1146903
Nfkb1,0.1144383
Smoc2,0.11438242
Pacs1,0.11433093
Zfhx3,0.11415892
Oard1,0.114086024
Trip6,0.114021346
Kxd1,0.11396446
Actn1,0.11395709
Tsr3,0.11389359
Atf5,0.11387041
Iscu,0.113837734
Wtip,0.11365237
Thap3,0.11344693
Rnpc3,0.113390036
1110051M20Rik,0.11323577
Vcl,0.11322764
Sh3bgrl3,0.11321514
Mylip,0.1130315
Ggps1,0.11271287
Prxl2b,0.11244501
Zzef1,0.112104446
Ilvbl,0.11190088
Trnau1ap,0.11183474
Kif1c,0.111762665
Pcif1,0.11170219
Hdac5,0.11165987
Washc4,0.11162823
Akap10,0.11156496
Pttg1,0.11148032
Nrbp2,0.1114659
Fer,0.1113782
Actr3b,0.11122673
Cpsf7,0.11120719
Slc25a30,0.11119338
Slc16a2,0.11117785
Crebzf,0.111156724
Camk1,0.111115694
