gene,mean_expression
Sdf4,0.18933374
Igf1,0.18933363
Atf7ip,0.18916969
Rps12,0.189006
Sptan1,0.1890056
Uqcrfs1,0.18884152
Prkcd,0.18851362
Ppp2r2a,0.18851347
Aff4,0.18851343
Cavin1,0.18851334
Prmt1,0.18834934
Adam10,0.18818553
Pbxip1,0.18818529
Ccdc88a,0.18802127
Ppp2r5c,0.18802121
Ddx39b,0.18802097
Ptpn13,0.1876932
Hsd17b10,0.18752904
Ubtf,0.18687277
Usp48,0.18670884
Snd1,0.18638064
Sppl3,0.18638048
Chmp4b,0.18605244
Rpl39,0.18588862
Epn2,0.18588851
Tfdp2,0.18572447
Pdap1,0.18572442
Mbtd1,0.1855603
Tnrc18,0.18539618
Stt3a,0.18523201
Lman1,0.18490423
Nf1,0.18490408
Insr,0.18490408
Mapre1,0.18490396
Snrpb,0.18473986
Camk2d,0.18457589
Mcl1,0.18441182
Gadd45a,0.1842479
Tmpo,0.18424785
Ccar1,0.18408369
Dhx40,0.18391964
Luc7l,0.18391962
Idh3g,0.1839196
Col4a1,0.18375577
Cul3,0.18375559
Pid1,0.18359157
Mtpn,0.18359156
Srbd1,0.18326354
Slc25a39,0.18326333
Mrpl33,0.18326321
Foxl2,0.1830994
Rexo2,0.18309936
Dap,0.1830993
Idh2,0.18293521
H13,0.1829352
Fbln1,0.18277122
Vapa,0.18260707
Ccnl2,0.18260704
Eif1,0.18260702
Wwox,0.18244337
Pkn2,0.18211488
Pcdh7,0.18195115
Glrx5,0.18195091
Ankrd12,0.18195088
Yy1,0.1819508
Camk2g,0.18178709
Tecr,0.18162274
Ltbp3,0.18162271
Gm42303,0.1812947
Sltm,0.1812946
Spin1,0.18129456
Rbx1,0.18113048
Sin3b,0.18096662
Hnrnph3,0.18096653
Ddx1,0.18096648
Rbm6,0.18096642
Ddx42,0.1808026
Ndufb5,0.18080232
Gpatch8,0.18063843
Selenok,0.18063831
Pard3,0.18063831
Prkab2,0.18063822
Phactr2,0.18047431
Etfa,0.1803103
Elf1,0.18031025
Npepps,0.18014617
Capns1,0.18014607
Gm2044,0.17998277
Atp2a2,0.17998207
Arpc5,0.17981802
Copb2,0.179818
Rb1cc1,0.17965412
Agap1,0.17965408
Trib2,0.17932588
Herc1,0.17916177
Sptlc2,0.17899771
Gpc4,0.17883368
Ctsz,0.17883362
Txndc17,0.17883359
Myo10,0.17883344
Rtf1,0.17850561
Morf4l2,0.17850539
Mier1,0.17850533
Arih1,0.17834145
Vmp1,0.17834137
Ssr4,0.17834134
Rabep1,0.17817754
Jmjd1c,0.1781773
Zfp950,0.17801344
Hdgf,0.17801313
Rps4x,0.17784931
Cacna2d1,0.17784931
Igbp1,0.17784928
Tut7,0.17784913
H1f0,0.17768529
Ndufa7,0.17752096
Sh3glb1,0.17735708
Ralgapa1,0.17719299
Cbx5,0.17702898
Vps13d,0.17686492
Pls3,0.17670086
Ptms,0.17670067
Snrpd2,0.17637259
Hdac2,0.17620865
Smarca5,0.1755523
Thrap3,0.17538829
Add1,0.17538825
Immt,0.17522427
Zfp638,0.17489615
Txndc5,0.17473195
Nedd8,0.17456801
Rbm17,0.17407571
Ap3b1,0.17391193
Camkk2,0.17391187
Htatsf1,0.17391178
Slk,0.17358378
Magi2,0.17325562
Ifitm2,0.1730913
Lhfpl2,0.17292741
Eya3,0.17292736
Naa50,0.17276324
Kmt2a,0.17259917
Dip2c,0.17227119
Fip1l1,0.17227104
Gatad2b,0.17227098
Arid1b,0.17210722
Ctsb,0.17194314
Chd6,0.171943
Pcm1,0.1719429
Fam120a,0.17177889
Sec61a1,0.17145069
Zc3h14,0.17128661
Pakap,0.17112274
Atf4,0.17112263
Knop1,0.17079456
Mmp14,0.17079446
Gprasp1,0.17063046
Sema3c,0.17046662
Cetn3,0.17046626
Smarca1,0.17030244
Serinc1,0.17030235
Myh9,0.17030224
Cwc15,0.17030224
Rad23b,0.17013809
Tbrg1,0.17013808
Tmem50a,0.16997422
Nfat5,0.16997421
Btbd7,0.1699742
Cc2d2a,0.16981013
Ccnl1,0.16981
Nolc1,0.16964614
Nbea,0.16948217
Usp47,0.16948208
Vezf1,0.16948195
Rif1,0.169318
Rab18,0.16931799
M6pr,0.16931798
Tiparp,0.16931793
Ppp2r3a,0.16931792
Ndufb10,0.16915384
Fam3c,0.16898979
Cyfip1,0.16898967
9530026P05Rik,0.16882607
Sec63,0.16882579
Polr1d,0.16882567
Eloc,0.16882567
Kdm7a,0.16849764
Top2b,0.16849749
Rfc1,0.16816947
C1qbp,0.1678414
Itga9,0.16784135
Srsf9,0.16784132
Eif3g,0.16784126
Srsf3,0.16784124
Glyr1,0.16767718
Sgms1,0.16751336
Lmo4,0.16734935
Setd2,0.16734917
Jmy,0.16734914
Calm3,0.16734914
Mphosph8,0.16718523
Mllt10,0.16702114
Brd4,0.16702093
Atp1a1,0.16702093
Nckap1,0.16685688
Tcf25,0.16669287
Twsg1,0.16669287
Gnai2,0.16669273
Pfdn2,0.16652891
Smc6,0.16652879
Rac1,0.16652878
Ccdc50,0.16636465
Aebp1,0.16620071
Creg1,0.16603665
Maf1,0.16603656
Zdhhc20,0.16587254
Cox7b,0.16570851
Romo1,0.1653806
Sf3b3,0.16538045
Anapc13,0.16538039
Arf5,0.16538022
Pcsk5,0.16521643
Smg1,0.1652164
St6gal1,0.16505234
Trp53inp1,0.16505226
Oxct1,0.16488817
Wdr33,0.16472414
Fkbp8,0.16472411
Sik3,0.16456017
Uqcr11,0.16456008
Atp5d,0.16455998
Cndp2,0.16439599
Ptch1,0.16423199
Tbl1xr1,0.16406791
Pcyox1,0.16373983
Zfand3,0.16373977
Atp2b1,0.16373973
Sncaip,0.16357577
Rpsa,0.16357565
H2-D1,0.16357556
Ppp1r14b,0.16341166
Zranb2,0.16341165
Mesd,0.1634116
Cop1,0.1632474
Utrn,0.16308361
Usp7,0.16308343
Strbp,0.1630834
Ddx46,0.16291946
Tcf3,0.16291945
Bpnt2,0.16291942
Kif21a,0.16275552
Rpl6,0.16275537
Pgd,0.16275533
Tnrc6a,0.16259131
Col3a1,0.16242737
Nav2,0.16242726
Ckap4,0.16226317
Clip1,0.16226311
Cdc123,0.1619352
Elob,0.16193499
Rabgap1,0.16177106
Rtn3,0.16160695
Cpq,0.16160694
Stag1,0.16160691
Tbcb,0.16160691
N4bp2l2,0.16160688
Mia3,0.16144289
Rpl31,0.16144286
Cnot6l,0.16144285
Psmb2,0.16144279
Kcnt2,0.16095066
Cox7a2,0.16095065
Stip1,0.16095062
Eif4h,0.16078658
Sbf2,0.16045856
Ndufb9,0.16045849
Tle1,0.16045834
Eif3e,0.16045833
Usp33,0.16013035
Prdx5,0.16013035
Ep400,0.1601302
Mgp,0.15996647
Ddx50,0.1599663
Pkm,0.1599663
Adamts5,0.15980238
Bcl11a,0.15980218
Pum2,0.15963818
Mga,0.15963814
Dnajc5,0.15963812
Timm13,0.15963806
Nme1,0.15947412
