gene,logfoldchange,pval,pval_adj
Sugp1,0.66089964,1.3080491633509797e-10,6.875946535805121e-10
Avl9,0.9534335,1.312696558779317e-10,6.897720197142358e-10
Gpr89,0.8629009,1.3215004161753866e-10,6.941309323362173e-10
Fam168a,0.51865447,1.3209007013679516e-10,6.939494294679465e-10
Rnf4,0.5303104,1.3288625613327728e-10,6.977295098474749e-10
Denr,0.4270035,1.3469491819823772e-10,7.070900502915755e-10
Snx8,0.8482063,1.3716793946493246e-10,7.199339198790947e-10
Zfp787,0.6758337,1.3827954031614084e-10,7.256287313572158e-10
Kcmf1,0.440095,1.4036017207731312e-10,7.364054147246119e-10
5031425E22Rik,0.6490096,1.4224159023405767e-10,7.458463872019352e-10
Thnsl1,1.5986638,1.4603930290028776e-10,7.653188266960761e-10
Csf2ra,0.8136454,1.4650309316024534e-10,7.675945946923241e-10
Gm16124,1.0024428,1.4652979626914234e-10,7.675945946923241e-10
Tmem237,0.9232204,1.4765535127879272e-10,7.733424239334121e-10
Ift122,0.8484998,1.4856578481717623e-10,7.77961569402256e-10
Baz2a,0.55574614,1.4917710028338526e-10,7.810129183197061e-10
Aplf,1.0960277,1.50574003849757e-10,7.881752352588028e-10
Sdhc,0.34932643,1.52645973359061e-10,7.981028361973272e-10
Becn1,0.5333142,1.5329976834528243e-10,8.013677149399284e-10
Ankrd13c,0.60008156,1.5580785131084575e-10,8.14322696083465e-10
Nop16,0.70379525,1.6066697365574343e-10,8.395579677938302e-10
Zkscan17,0.8727212,1.627523917237613e-10,8.498913807535815e-10
Xpo5,0.78940696,1.6272724596410506e-10,8.498913807535815e-10
Wdr11,0.74607056,1.6351237806471877e-10,8.53609647858703e-10
Ccnh,0.64950925,1.6377114209428592e-10,8.547970737144502e-10
Shroom2,1.014939,1.6549243593924056e-10,8.636162038320117e-10
Zfp316,1.1028537,1.6889462212308426e-10,8.808653042648652e-10
Clns1a,0.6236369,1.7027925061179901e-10,8.879171847696617e-10
Skil,0.69885534,1.7144247967952613e-10,8.938121105003059e-10
Svbp,0.5547192,1.7467182134481413e-10,9.10126858430813e-10
Arfgap2,0.7863278,1.7852490861217743e-10,9.294938176655761e-10
Parg,0.69514155,1.8081054500204287e-10,9.412145491307487e-10
Trim8,0.609178,1.8127236666966588e-10,9.434387013308974e-10
1110004F10Rik,0.5562877,1.81740253610221e-10,9.456935666704525e-10
Slc44a2,0.7645792,1.8261308962198995e-10,9.500543418348307e-10
Idua,0.93049645,1.8294581216612748e-10,9.51604021636841e-10
Trub1,0.8132516,1.8342223110075895e-10,9.537187537124398e-10
Rnf130,0.43761268,1.8396664832383458e-10,9.563673646583502e-10
Mtx2,0.6318217,1.8635736219987745e-10,9.68611281199934e-10
Ybx3,0.3329312,1.8793238823075876e-10,9.766117236133243e-10
Gabpb2,0.6601833,1.926248513675434e-10,1.0006157376118794e-09
Ppm1g,0.47343448,1.955883004576975e-10,1.0156233106497747e-09
Gm4926,2.1114902,1.96698408482097e-10,1.0209993625069761e-09
Ift43,0.5906751,1.9923283559293315e-10,1.0339582038003904e-09
Cap1,0.5100475,2.0097438167388204e-10,1.0427980887194985e-09
Dsel,0.9158954,2.0110260840043714e-10,1.0432651562145421e-09
Flvcr1,1.426336,2.0208338335559524e-10,1.0481539923552083e-09
Zfp26,0.9843553,2.0336441963759925e-10,1.0545980530608494e-09
Pacs1,0.7251403,2.0350442566637883e-10,1.0551236866633386e-09
Itga3,1.3202666,2.0410992175739736e-10,1.0580621214623543e-09
Kansl2,0.85679334,2.0760557443799178e-10,1.0757743402695939e-09
Zfp639,0.7776276,2.0832747743579882e-10,1.079310268772223e-09
Sin3a,0.50351185,2.0879106080914443e-10,1.0815067981923867e-09
Rdh13,1.1496959,2.108929213277876e-10,1.091979789685679e-09
Wdr46,0.7526894,2.1300115600259568e-10,1.1026868718882953e-09
Rpl3,0.38581824,2.1393870552666914e-10,1.1060724251078675e-09
Ublcp1,0.86829555,2.1597866373217703e-10,1.1159851354806264e-09
Ufl1,0.6444961,2.1621088330878093e-10,1.1169038400951984e-09
Stau2,0.6807435,2.1623827779889458e-10,1.1169038400951984e-09
Dcaf12l1,1.4548041,2.1662020210484915e-10,1.118664909791696e-09
Phf20,0.59690094,2.1805815751349262e-10,1.1258778128954026e-09
Esyt3,1.8766137,2.187849580372142e-10,1.129416848041229e-09
Exosc5,0.72525454,2.2175799986367684e-10,1.144331633014169e-09
Mta1,0.5995873,2.2252219178446485e-10,1.14805808811248e-09
Ttc7b,0.77584225,2.2435722766922179e-10,1.1573068934541398e-09
Rxra,0.69932044,2.247640513317588e-10,1.1591864173613546e-09
Ssb,0.2992941,2.2485912708874677e-10,1.1594577425692264e-09
Rassf3,0.6966563,2.2732263637980036e-10,1.1717179424349045e-09
Rap1b,0.395257,2.3319986835524686e-10,1.2011046983028307e-09
Rbmxl1,0.6338442,2.3713672865543863e-10,1.220921007444737e-09
Uap1,0.86004126,2.377558681115963e-10,1.223877916110655e-09
Caml,0.7386593,2.39398020087539e-10,1.2320988015928516e-09
Zfyve16,0.86262006,2.445060099268247e-10,1.2567295913087526e-09
Mtch2,0.50656235,2.453721550488165e-10,1.2609440898358437e-09
Mfsd6,1.1690353,2.4768011219605915e-10,1.2725349347466698e-09
Grem2,0.747729,2.4772087969009083e-10,1.2725349347466698e-09
Cluap1,0.73638934,2.4787308391655117e-10,1.2730772780612483e-09
Kif5c,1.4529812,2.4888788859907835e-10,1.2780489039722843e-09
Pwwp3b,1.1970096,2.4999309801992373e-10,1.2834828046705486e-09
Fam160a2,0.8666847,2.525928863684369e-10,1.296586496807188e-09
Abca6,1.3037684,2.530494432286247e-10,1.2986858925697632e-09
Tcf25,0.3746,2.565871628381597e-10,1.3156055036563898e-09
Efna1,1.177828,2.5710021350382424e-10,1.3179885710279596e-09
Gpr180,0.8382974,2.5782450927836223e-10,1.3209575111328812e-09
Fam207a,0.78839284,2.5878297474544543e-10,1.3256194295450086e-09
Ints13,0.6699784,2.5925184426901533e-10,1.3277721073113722e-09
Rnf215,0.89939654,2.6139261585994656e-10,1.338234125412361e-09
Arhgef11,0.6238515,2.6221774365863925e-10,1.3422067969838448e-09
Rasa2,0.68448925,2.6324456160672235e-10,1.3472101716116852e-09
Abi2,0.7037534,2.6606660880137723e-10,1.3613974175607202e-09
Tmem230,0.829724,2.6617739281753563e-10,1.361709079276218e-09
Arl8b,0.4916322,2.6657933731815755e-10,1.3635098626447462e-09
Sufu,0.8485245,2.673705406262215e-10,1.3673005938785775e-09
Stard10,0.9229434,2.6890993692413856e-10,1.3749153572733623e-09
Phtf1,0.80654967,2.702531246216542e-10,1.3815242579189335e-09
Zfp839,0.85478497,2.720117956653005e-10,1.3902542225851177e-09
Cdc37l1,0.56681997,2.727749505222719e-10,1.3938937814167303e-09
D430019H16Rik,2.015529,2.7406644177373345e-10,1.3999693282971457e-09
U2af2,0.49247172,2.74020194533583e-10,1.3999693282971457e-09
Esyt1,0.88371044,2.7468185623067887e-10,1.402850490210667e-09
Myo10,0.40737805,2.8498577397899516e-10,1.455202279212363e-09
Ube2e2,0.70529675,2.8722953178043423e-10,1.4661110312584027e-09
Vrk2,1.155036,2.8758455148424885e-10,1.4676487867615788e-09
Arhgef18,0.70429105,2.936474773467899e-10,1.4980300960387529e-09
Tgfb3,0.8842463,2.938009342382712e-10,1.4985329548865156e-09
Cbs,1.666703,2.9518550246710087e-10,1.5041899540610777e-09
Psmd10,0.6889181,2.991035201109744e-10,1.5235864570130474e-09
Wdr12,0.7311298,3.01688846075286e-10,1.5364690476391594e-09
Mrpl13,0.4512919,3.022093851923318e-10,1.5388330555587905e-09
Rev1,0.7114955,3.039398908292398e-10,1.5473561139867115e-09
Miga1,1.0313445,3.0605765555817416e-10,1.5578471606459413e-09
Mib2,0.81187624,3.096495538479799e-10,1.5758363035808753e-09
Ufsp2,0.64965653,3.0997121880063353e-10,1.5771793117617774e-09
Eid2,0.7455285,3.1268559436009825e-10,1.5906940158028251e-09
Tmem30a,0.45454818,3.1334035079191706e-10,1.5937279429343725e-09
Tmem248,0.6959057,3.167705842165168e-10,1.6105749089131394e-09
Tex10,0.7072805,3.2505158630977816e-10,1.6520631908071247e-09
Echdc2,0.48400402,3.282404830229604e-10,1.667960154099365e-09
R3hdm4,0.6878013,3.299183790960761e-10,1.6761744518906152e-09
Cnot8,0.544116,3.3094008157995265e-10,1.681052473930688e-09
Yif1a,0.6516918,3.3336641431565323e-10,1.693062353061808e-09
Ncbp2,0.57708853,3.343179642477902e-10,1.6975792036186379e-09
Hsdl2,0.70685947,3.4162062161351673e-10,1.7340152132206446e-09
Ift52,0.680174,3.4414400872498845e-10,1.7464988606353827e-09
Snrnp48,0.59359,3.4547257661584164e-10,1.752915398502569e-09
Harbi1,1.2140263,3.460945256685074e-10,1.7554726059283653e-09
Mrpl9,0.6107593,3.4610515466111386e-10,1.7554726059283653e-09
Pus7,0.78906906,3.4737831430206314e-10,1.7616029189058747e-09
Gtf2e1,1.1062075,3.4910888920476564e-10,1.770050139639316e-09
Mgat5,0.75618756,3.495330864436381e-10,1.7718718639381085e-09
Vcpip1,0.6246879,3.5437995389734025e-10,1.7954418039077901e-09
Rbm34,0.7677132,3.5877757154977226e-10,1.8170476787281453e-09
Maml1,0.88923085,3.589630418891174e-10,1.8176498391503285e-09
Eif4a1,0.35392895,3.603091328407191e-10,1.8237894427048855e-09
Fam185a,1.0458009,3.641301514678981e-10,1.8427887906446748e-09
Vwa8,0.62535566,3.671358665235387e-10,1.8576557753321307e-09
Eftud2,0.5891514,3.7186219518871e-10,1.8812217000625067e-09
Ap4e1,1.2176187,3.7387799280466686e-10,1.891069069571289e-09
Ube2q2,0.7857324,3.828064301815547e-10,1.9351534832895737e-09
Aptx,0.83670145,3.8539816258552677e-10,1.9478944896469154e-09
Parp6,0.94845915,3.8922139987933876e-10,1.966489985363728e-09
Mrps5,0.7438193,3.91431362721424e-10,1.9765582571450045e-09
Wdr82,0.49170533,3.915896264874626e-10,1.976991784760945e-09
Rnf214,0.67209226,4.0157856041117635e-10,2.0259237684601533e-09
Acvr2a,1.0777587,4.039661502640642e-10,2.034960848830211e-09
Aktip,0.71938545,4.148882400233197e-10,2.0876692991811093e-09
Pdzd2,0.8094528,4.1557604383643216e-10,2.0907449281124206e-09
Snx13,0.7615173,4.225971085264932e-10,2.125488221669133e-09
1110065P20Rik,0.53205013,4.2301509629733495e-10,2.125488221669133e-09
Mtcl1,0.8469965,4.237573492523375e-10,2.1287666801539226e-09
Rsl24d1,0.73179793,4.285000789462494e-10,2.152196036694159e-09
Ap3s2,0.69606936,4.3172258752397286e-10,2.167982675587094e-09
Fbxw9,0.986906,4.354746627016255e-10,2.186020355900438e-09
Tmem171,1.6566112,4.3825276028264074e-10,2.199561601837673e-09
Mafa,2.4059844,4.4547288643124083e-10,2.234566639395952e-09
Fth1,0.2940866,4.498199336944321e-10,2.2559576872996106e-09
Nt5dc2,0.746187,4.539451409408159e-10,2.276228500111496e-09
Zfp775,1.2567384,4.5872054383217725e-10,2.2993293571231752e-09
Pnpla7,0.7916604,4.618517438225885e-10,2.314174740610779e-09
Srm,0.70634294,4.634553044157633e-10,2.3217835186171718e-09
Synrg,0.7091534,4.674943529544253e-10,2.341588390885099e-09
Cbfb,0.53922737,4.691002512345831e-10,2.3492010563935846e-09
Gtf2a2,0.4322102,4.771048474859285e-10,2.3888490098859905e-09
Gipc1,0.7350891,4.808140177326603e-10,2.406979304392157e-09
Psmd14,0.45541054,4.816934111648253e-10,2.410939542627539e-09
Stk11ip,1.002005,4.83262143288697e-10,2.4183479285577884e-09
Pan2,0.7826,4.908832706116985e-10,2.4542365752629927e-09
Zfp182,0.9231487,4.943979466635753e-10,2.471356121888612e-09
Cdkal1,0.76413167,5.007745647329713e-10,2.502772824620962e-09
Prxl2c,0.52942467,5.018118605011572e-10,2.5074980284156468e-09
Mrpl24,0.4189854,5.071383276201424e-10,2.5336500931404847e-09
Chmp1b,0.8447693,5.104091354987185e-10,2.5495244468572107e-09
Pip4p2,0.9213576,5.105063120022254e-10,2.5495434125840063e-09
Rad51d,0.83219796,5.114050440370426e-10,2.5535647251908147e-09
Cope,0.3775939,5.171818771175087e-10,2.5819376103381496e-09
Abca3,1.049321,5.193607044849773e-10,2.5923410081450337e-09
Eif2b5,0.6350563,5.338286524680938e-10,2.663582547210593e-09
Plekho1,0.88079864,5.385340643632273e-10,2.6859094077327583e-09
Rtraf,0.48419273,5.385984693014266e-10,2.6859094077327583e-09
Gm48204,2.8394294,5.434123471371617e-10,2.7089259291374706e-09
Camk1d,0.7356578,5.427138486646237e-10,2.7059379492494924e-09
Arhgap11a,0.8333258,5.442949847062296e-10,2.712830589162867e-09
Cdc14b,1.1904026,5.450196775539225e-10,2.715451141652326e-09
Fh1,0.40211526,5.447120940908669e-10,2.7144139998107208e-09
Strn4,0.6934804,5.48819842064834e-10,2.7338858142485242e-09
Csnk1e,0.4745318,5.506939072199465e-10,2.7427208589613642e-09
Ncbp1,0.6819353,5.529326868563853e-10,2.753368803436055e-09
Fut10,0.98786575,5.563894295508961e-10,2.7700766949358342e-09
Tufm,0.82214624,5.585911399476286e-10,2.7805312477648315e-09
Scmh1,0.61833495,5.621635301934391e-10,2.7978036574683684e-09
Mvb12b,0.88633007,5.662130111196781e-10,2.8174437475124058e-09
Dnmt3b,1.2344722,5.692282995139031e-10,2.831415606053579e-09
Lrrtm3,2.446737,5.714242113009971e-10,2.8418206268034835e-09
Ruvbl1,0.8236279,5.746927829306132e-10,2.8570351515576353e-09
Sp4,1.1200011,5.756577563530403e-10,2.8607906300886528e-09
Dhtkd1,1.4733782,5.902615477480487e-10,2.9328318540791583e-09
Mettl14,0.73001325,5.916043886997258e-10,2.9373658164518296e-09
Irak2,1.1603104,5.987067244781264e-10,2.9716427705976934e-09
Ric8b,0.8159605,6.046293215298508e-10,2.999853600895787e-09
Tmem131,0.7866103,6.07980249788836e-10,3.015383244320543e-09
Pipox,1.841265,6.090824831754697e-10,3.0203013145913275e-09
Ift80,0.86645806,6.144778437630639e-10,3.0463034380919025e-09
Cblb,0.67004055,6.145492926422078e-10,3.0463034380919025e-09
Slc7a6,0.8076104,6.277721694581082e-10,3.1112839975884423e-09
Ttll4,0.7136861,6.5351468477739e-10,3.2382779380176187e-09
Sap30l,0.55547786,6.652967337032672e-10,3.295463846208328e-09
Arfrp1,0.66370165,6.682920304115731e-10,3.3090999830118213e-09
Fam216a,0.68819,6.694429354989538e-10,3.3141977276387914e-09
Slc38a7,1.2209526,6.731329010520837e-10,3.329447028519029e-09
Vezt,0.8596922,6.829092693772308e-10,3.3759680937545776e-09
Cdk11b,0.43594736,6.898518670650032e-10,3.4096715290506484e-09
Rps6kb1,0.48599464,7.108838684994247e-10,3.5098123438769968e-09
Abca4,1.5123485,7.271225770212349e-10,3.588040433835311e-09
Arfgap1,0.60127693,7.363055751699436e-10,3.6313856789857244e-09
Cnppd1,0.59393567,7.435430806112416e-10,3.6664180476663767e-09
Cchcr1,1.0485659,7.502134094081985e-10,3.6979737709102803e-09
Pbx2,0.7047271,7.515983129448842e-10,3.7041315412155547e-09
Wdr74,0.716673,7.628812489755966e-10,3.758380862645383e-09
Wwox,0.44705132,7.627294794559e-10,3.758311311601595e-09
Mvb12a,0.5992368,7.651986567380755e-10,3.769117612289316e-09
Trmt1l,0.689039,7.659556142735582e-10,3.7721656090387734e-09
Sel1l,0.45975977,7.805409827406572e-10,3.843302155413555e-09
Nfix,0.48168024,7.819636130958675e-10,3.849612789101419e-09
Zkscan7,1.1981257,7.890854746484524e-10,3.88257356538596e-09
Surf6,0.79943943,8.128078587351555e-10,3.9971076769438225e-09
Smu1,0.43539014,8.129487210221971e-10,3.9971076769438225e-09
Amdhd2,0.8283074,8.183600824884158e-10,4.0229897969357614e-09
Otulin,0.65379566,8.279183387683392e-10,4.069244717082262e-09
Bri3bp,0.64912146,8.294583445322849e-10,4.076080126127605e-09
Zfp592,0.66844696,8.329260151601653e-10,4.0923841986535886e-09
Polr3d,0.6628513,8.398495964309604e-10,4.125659145619739e-09
Top3b,0.7768345,8.484481684042728e-10,4.167148829275384e-09
Gm7694,1.8929893,8.502283264191407e-10,4.175141006514712e-09
Rnf182,1.6327106,8.62377016093503e-10,4.234036984427425e-09
Gcn1,0.858906,8.695060004358621e-10,4.268270825224801e-09
Pdcd11,0.61610806,8.715120567559708e-10,4.277349215460771e-09
Msh3,0.66870105,8.802019715848036e-10,4.318701940635709e-09
Tmem50a,0.3723092,8.820352684899961e-10,4.326663481060432e-09
Pik3c3,0.7185272,8.841948324951057e-10,4.336477727970877e-09
Dazap2,0.40838087,8.872290834010585e-10,4.349796312461681e-09
Dram2,0.7000849,8.897901625520279e-10,4.361569265378459e-09
Dld,0.48715338,8.904418430269741e-10,4.3639801903007495e-09
Bin3,0.9064237,8.92658035716243e-10,4.374056415857965e-09
Zfp1,0.8620471,9.035608574541226e-10,4.4266861817817885e-09
Banf1,0.35412213,9.052960720241378e-10,4.434391577767318e-09
Ddx47,0.52121776,9.169287153316028e-10,4.490565868107399e-09
Slu7,0.6162482,9.188601310075261e-10,4.499217746933014e-09
Katnal1,0.9487958,9.289919227557149e-10,4.546382231044862e-09
Phf20l1,0.40086213,9.283312516747175e-10,4.543963457238224e-09
Larp4,0.6198675,9.3309078896053e-10,4.565623263618164e-09
Zfp317,0.9794293,9.55387604330429e-10,4.673884207316557e-09
Akap7,0.63369596,9.56692503398866e-10,4.679429491275392e-09
Capn6,3.6167564,9.629305590597977e-10,4.709097806557345e-09
Rab1a,0.44456467,9.748306181256998e-10,4.765586457777257e-09
Cisd2,0.5455781,9.834709883487217e-10,4.802666498816875e-09
Eml6,1.1526083,1.0055881007329832e-09,4.909794691400687e-09
Crlf3,0.7661499,1.006295476254666e-09,4.9123699960989005e-09
Dcaf4,0.781365,1.029355065245879e-09,5.023142331797718e-09
Tab3,1.033412,1.033781125444003e-09,5.043839540385564e-09
Zwilch,0.97366524,1.0348188987432484e-09,5.048000784775221e-09
Mcmbp,0.6006629,1.0392966000566123e-09,5.06893802632113e-09
Immp1l,0.5255059,1.0397190622347032e-09,5.070092794462244e-09
Sort1,1.2666444,1.0565344832812788e-09,5.146576449068467e-09
Oxsr1,0.70527035,1.0585044279822082e-09,5.155252657366791e-09
Krba1,0.8195149,1.0613982872004011e-09,5.168424725420466e-09
Zdhhc8,0.85013765,1.0792453132398129e-09,5.254392793756529e-09
Wrnip1,0.70034087,1.0795565398692424e-09,5.2549709766535795e-09
Ipo4,0.8580729,1.083260440134675e-09,5.272060569874694e-09
Metap1,0.56531155,1.0947246011014995e-09,5.326905325944438e-09
Slc35b1,0.6036166,1.097566212040224e-09,5.3397808779996855e-09
Enkur,2.3027232,1.1022432493992002e-09,5.361579803731759e-09
Chpf,0.8122717,1.1051685801926711e-09,5.374851753651674e-09
Rpl18a,0.4060315,1.1100987110995101e-09,5.39786733911842e-09
Pinx1,0.8231576,1.1391422161064392e-09,5.533179136515586e-09
Stau1,0.51363856,1.150545950842566e-09,5.587576680159122e-09
Gm49524,2.880137,1.1561709044915552e-09,5.612897262683665e-09
Bnc2,0.5278941,1.157810282254832e-09,5.619856735360654e-09
0610009L18Rik,1.3332897,1.1709221723933235e-09,5.68248988141751e-09
Snrpa,0.7269042,1.2083273820226047e-09,5.858810604042475e-09
Krtcap2,0.46570736,1.2107650375830595e-09,5.869587681308643e-09
Nbr1,0.40299776,1.2173961773188548e-09,5.8996393023316814e-09
Fnta,0.4470054,1.2233110172573009e-09,5.926199557163961e-09
Polr3e,0.80094856,1.2349265410766007e-09,5.980347525898267e-09
1700012D14Rik,1.2754476,1.2478790906137193e-09,6.040929576423117e-09
Carmil3,1.289369,1.2517430944366622e-09,6.058560841589113e-09
Tnfaip1,0.6084632,1.2594355557537364e-09,6.094712686767859e-09
Dbt,0.5753648,1.2669137798891049e-09,6.129815157241224e-09
Pygo2,0.65328246,1.3002233025716165e-09,6.2865232566164065e-09
Aebp2,0.45510557,1.3051586095895084e-09,6.309267974083277e-09
Fibp,0.62108266,1.31501535332011e-09,6.354666228619286e-09
Msh6,0.6264147,1.317850290544588e-09,6.367238804236221e-09
Jtb,0.4570304,1.3280483090473918e-09,6.415375616051121e-09
C1d,0.52872765,1.3347219697659803e-09,6.446473366446234e-09
Nup214,0.5412547,1.3398923006292058e-09,6.470300580841741e-09
Ptger3,2.0220487,1.3471873290861049e-09,6.498631739582672e-09
Pdhb,0.50184923,1.3454045647456675e-09,6.492326057131665e-09
Rft1,0.7982911,1.3460871345443333e-09,6.494471997608046e-09
Kif27,2.40713,1.3630622302315424e-09,6.574048414063205e-09
Ccdc59,0.51811457,1.3784714828831315e-09,6.647193023164631e-09
Fbf1,0.81436574,1.3948458651420431e-09,6.7249649754499745e-09
Ankzf1,0.8755606,1.3975184664019353e-09,6.7366607853411085e-09
Asap1,0.45690987,1.4010280527263737e-09,6.752386394278584e-09
Etv3,0.99041003,1.4177043795427818e-09,6.8315535959506824e-09
Adcy6,0.7728029,1.43180773051026e-09,6.897079475321388e-09
Chn1,1.1427921,1.4424519639408925e-09,6.945902287738658e-09
Smpd4,0.7728029,1.4503666547571327e-09,6.982782714659495e-09
Gpm6b,0.87401134,1.4693777835775505e-09,7.07306446139243e-09
Tmie,1.2575272,1.4790458277847806e-09,7.118348005642141e-09
Irf2bp1,0.68148386,1.4957050961056044e-09,7.197257003696037e-09
Gm48203,2.8677092,1.5188802562160531e-09,7.306199371999101e-09
Gmcl1,0.73797923,1.522832360083757e-09,7.322629786433043e-09
Rrp1b,0.63726807,1.5280092097841857e-09,7.346229169701993e-09
Kcnk1,1.0973126,1.5346682728151878e-09,7.376945044484696e-09
Trim62,1.1224535,1.5384695215889994e-09,7.392614105586844e-09
Snrpf,0.39883512,1.5569913399573299e-09,7.480298179633113e-09
Spg20,0.82685876,1.5667124093050147e-09,7.525677148355879e-09
Zbtb46,0.79483706,1.587910948808266e-09,7.626162292930887e-09
Sra1,0.4336399,1.5948711655985688e-09,7.65824260188845e-09
Fbxw7,0.5311795,1.6002177574790302e-09,7.68256469710743e-09
M6pr,0.3704889,1.6012795725740217e-09,7.686310859702623e-09
Gnb4,0.72855175,1.6234129388037884e-09,7.791183594332894e-09
Synm,0.5582409,1.624654349270747e-09,7.795771124453288e-09
Clcn4,0.51370203,1.6319965110972345e-09,7.828250306129267e-09
Taf11,0.68178105,1.6384142029799174e-09,7.850758684443784e-09
Rpl37,0.3484118,1.6591599898453508e-09,7.948770872564944e-09
Ppp1cb,0.3821307,1.6660633962368386e-09,7.980443667974457e-09
Gatad1,0.47072163,1.6679087833689197e-09,7.986480798372784e-09
Rbm27,0.5588343,1.6722844205071279e-09,8.006028674926549e-09
Slc35d1,0.6971381,1.7306711630177042e-09,8.27684616638157e-09
Srsf4,0.50962824,1.7435981185964327e-09,8.337208306836849e-09
Tfap4,1.1378903,1.7448917738449007e-09,8.341933129274615e-09
Phb2,0.32082626,1.7455231597787263e-09,8.34349069177846e-09
Wdr5,0.60215545,1.7954800024327004e-09,8.579277302488628e-09
Cbr4,0.8369027,1.8102396906032746e-09,8.648289461512023e-09
Capn2,0.6307674,1.8499277727812486e-09,8.836350241470685e-09
Msl3,0.5951443,1.879330206078449e-09,8.964247487169793e-09
Prg4,3.05866,1.887673312811513e-09,9.002470647981265e-09
Cep170b,0.8274649,1.888080433517997e-09,9.002839691991245e-09
Bub3,0.4699513,1.9079965645700823e-09,9.096216204375233e-09
Bcl2,1.0272952,1.9237860033131508e-09,9.168289273600795e-09
Tra2b,0.50006795,1.950347153165548e-09,9.291629440390676e-09
Akap10,0.66686237,1.9618465744432044e-09,9.343153152280274e-09
Clip4,1.1310204,1.9640766714532496e-09,9.352142546335555e-09
Ubb,0.24680698,1.960158192520448e-09,9.336740950869816e-09
Vipas39,0.78893954,1.9835524783368116e-09,9.433362361266324e-09
Irak1bp1,0.94862396,2.0120842660119577e-09,9.567387097687997e-09
Bcl2l11,0.87564135,2.0148213546844474e-09,9.578733666541784e-09
Dglucy,1.3184912,2.039719030940825e-09,9.69541237844313e-09
Vrk1,0.6191142,2.0549307764543257e-09,9.766018274940375e-09
Myo9b,0.659451,2.0583256419638354e-09,9.780449878617925e-09
Aff1,0.5298756,2.0746766243183815e-09,9.856428723466987e-09
Mtbp,1.1014911,2.0838301896523935e-09,9.89819340084887e-09
Farp2,0.99856627,2.085672084084329e-09,9.903496506392075e-09
Ankrd52,0.77381784,2.0846890723568336e-09,9.900550659690143e-09
Mrpl15,0.57929456,2.0872350090325306e-09,9.909194479501858e-09
Pknox1,0.9851167,2.1043040690230894e-09,9.988493393000245e-09
Zfp512,0.6885024,2.1085496507871525e-09,1.0006906155995416e-08
Il17rd,1.2938502,2.120423948708091e-09,1.0061511135136777e-08
Cse1l,0.63142097,2.124895852053828e-09,1.0080978531472749e-08
Bend5,1.2048367,2.1280452273854363e-09,1.0090659750487073e-08
Nudt3,0.45000324,2.1578176246265035e-09,1.0230056364851088e-08
Bccip,0.50256926,2.1732427651782546e-09,1.0301397086399634e-08
Tgif2,1.1580406,2.1793393109904e-09,1.0328502205861985e-08
Obi1,0.84942836,2.212198571138283e-09,1.0480720428051455e-08
Utp25,0.79638445,2.215799563486785e-09,1.0495831971179682e-08
Ptp4a1,1.0910511,2.2649309201688035e-09,1.0717401891398412e-08
Sik2,1.001935,2.266836730267915e-09,1.0724561297263017e-08
Ccdc160,1.0173566,2.2852472480115836e-09,1.0809789607148347e-08
Vldlr,0.7047588,2.3614698366587584e-09,1.1164069481732868e-08
Krr1,0.58224475,2.3617794867409825e-09,1.1164069481732868e-08
Pign,0.74035835,2.4251686156841366e-09,1.1461723855638563e-08
Map3k20,0.6955871,2.4524898563725e-09,1.1588842254852608e-08
Mrps17,0.49084637,2.5591215142428836e-09,1.2080168517180749e-08
Ddx23,0.64506453,2.634626267758921e-09,1.243443405162002e-08
St3gal6,0.7758141,2.653915926997368e-09,1.2521145075999507e-08
Socs6,0.7825409,2.6738991522499695e-09,1.261324612195593e-08
Nxf1,0.64630145,2.6974426842004758e-09,1.2722107031737017e-08
Glis2,0.8592511,2.7026612106710487e-09,1.2744517968040007e-08
Slc39a6,0.60700774,2.711111580864019e-09,1.2782158434178951e-08
Minpp1,0.5831307,2.7893198894999658e-09,1.314181206954574e-08
Sec23ip,0.5398276,2.831968207683955e-09,1.334044651042012e-08
Gm15270,1.454222,2.843429234499869e-09,1.339212495938415e-08
Six5,0.84917194,2.873121388726774e-09,1.3522639764938306e-08
Psmc3,0.3262342,2.9132353378874896e-09,1.3709076944216154e-08
Ndufv2,0.32635683,2.9195240863114293e-09,1.3736302968905902e-08
Mrpl52,0.42248854,2.9870704360389563e-09,1.405168575382006e-08
Fem1b,0.59366566,2.9923101868357796e-09,1.4073909566094279e-08
Selenon,0.7781429,3.000307525592806e-09,1.4106663745696639e-08
Gm49599,1.2374637,3.051148830669242e-09,1.4338298885329141e-08
Afg3l1,0.5459502,3.050922876797723e-09,1.4338298885329141e-08
Pabpc4l,1.4684489,3.067994199791825e-09,1.4414979459114815e-08
P4ha3,2.8983176,3.071598208192687e-09,1.4429429779470912e-08
Galnt15,0.8779142,3.0792718928548387e-09,1.4462989934735192e-08
Uap1l1,0.89760804,3.0883416986113526e-09,1.4503094839557234e-08
Ltn1,0.6751158,3.1087901362363065e-09,1.4596611709313822e-08
Dnajc25,0.78967345,3.1732265353325103e-09,1.487868866463739e-08
Mrpl58,0.42504802,3.1884811733037273e-09,1.494764791804802e-08
Sidt2,0.51453114,3.196497073955197e-09,1.4982654010334548e-08
Agbl5,1.2575011,3.2033569364363157e-09,1.501223042147627e-08
Zfp329,0.93599916,3.2116466808817798e-09,1.5048496538204092e-08
