benchmark,benchmark_version,config_hash,config_id,fit_mode,grid_side,dimension_p,smoothness,decay_true,variance_true,range_true,bandwidth,input_spacing,candidate_count,decay_candidate_count,variance_candidate_count,delta,seed,git_commit,git_dirty,model,sample_size,sample_size_times_dimension,inverse_sqrt_sample_size_times_dimension,trial,decay_estimate,variance_estimate,range_estimate,population_grid_decay_target,population_grid_variance_target,population_continuous_decay_target,population_continuous_variance_target,decay_error_to_truth,variance_error_to_truth,decay_error_to_grid_target,variance_error_to_grid_target,sample_objective_at_estimate,population_objective_at_estimate,criterion_deviation_at_estimate,sample_objective_at_population_target,population_objective_at_population_target,criterion_deviation_at_population_target,max_abs_criterion_deviation,population_excess_at_estimate,erm_deterministic_excess_limit,erm_inequality_holds,uniform_likelihood_bound,uniform_excess_bound,max_candidatewise_deviation_to_bound_ratio,simultaneous_candidatewise_bound_holds,uniform_bound_holds,population_excess_within_uniform_bound,finite_grid_oracle_selected,worst_bound_decay,worst_bound_variance,worst_bound_frobenius_norm,worst_bound_operator_norm,worst_bound_stable_rank
SupportShift,1.1,f9eed014185c116e636cc594e42a84cd34479191b134ee7dc3f9a16b1ed9159b,q10_nu1.5,joint,10,100,1.5,1.0,1.0,1.0,0.5,0.25,16261,161,101,0.05,9060616601754627066,d5207fb43cf63f5dfd68a443853a209e303f9aa2,False,naive,16,1600,0.025,86,0.6077485837942549,1.6401652438608347,1.6454172443428294,0.5935059760342877,1.6401652438608347,0.5893632336514004,1.669823191746585,-0.3922514162057451,0.6401652438608347,0.014242607759967219,0.0,-1.2855114712057247,-1.3180365496765227,0.03252507847079826,-1.2843406125660948,-1.3191224343211163,0.03478182175502164,8.998909160667765,0.0010858846445935821,17.99781832133553,True,29.777703351449993,59.55540670289999,0.30402345543576204,True,True,True,False,0.15,0.35,2840.0061254581387,454.4099945131328,39.060950196661835
SupportShift,1.1,f9eed014185c116e636cc594e42a84cd34479191b134ee7dc3f9a16b1ed9159b,q10_nu1.5,joint,10,100,1.5,1.0,1.0,1.0,0.5,0.25,16261,161,101,0.05,9060616601754627066,d5207fb43cf63f5dfd68a443853a209e303f9aa2,False,naive,16,1600,0.025,87,0.566014266387059,1.9342687091274073,1.7667399205025822,0.5935059760342877,1.6401652438608347,0.5893632336514004,1.669823191746585,-0.433985733612941,0.9342687091274073,-0.02749170964722869,0.2941034652665726,-1.298568809098905,-1.3186553551718134,0.02008654607290835,-1.2980566491489214,-1.3191224343211163,0.02106578517219519,4.6941540984695695,0.00046707914930288474,9.388308196939139,True,29.777703351449993,59.55540670289999,0.20027327768663863,True,True,True,False,0.15,0.35,2840.0061254581387,454.4099945131328,39.060950196661835
SupportShift,1.1,f9eed014185c116e636cc594e42a84cd34479191b134ee7dc3f9a16b1ed9159b,q10_nu1.5,joint,10,100,1.5,1.0,1.0,1.0,0.5,0.25,16261,161,101,0.05,9060616601754627066,d5207fb43cf63f5dfd68a443853a209e303f9aa2,False,naive,16,1600,0.025,88,0.6077485837942549,1.4426999059072134,1.6454172443428294,0.5935059760342877,1.6401652438608347,0.5893632336514004,1.669823191746585,-0.3922514162057451,0.4426999059072134,0.014242607759967219,-0.1974653379536213,-1.3538535489840047,-1.3180112119117677,-0.03584233707223718,-1.352590322390993,-1.3191224343211163,-0.03346788806987649,7.943429368024551,0.0011112224093485779,15.886858736049103,True,29.777703351449993,59.55540670289999,0.3223840961308776,True,True,True,False,0.15,0.35,2840.0061254581387,454.4099945131328,39.060950196661835
SupportShift,1.1,f9eed014185c116e636cc594e42a84cd34479191b134ee7dc3f9a16b1ed9159b,q10_nu1.5,joint,10,100,1.5,1.0,1.0,1.0,0.5,0.25,16261,161,101,0.05,9060616601754627066,d5207fb43cf63f5dfd68a443853a209e303f9aa2,False,naive,16,1600,0.025,89,0.5527497037082496,1.9342687091274073,1.8091371072499325,0.5935059760342877,1.6401652438608347,0.5893632336514004,1.669823191746585,-0.4472502962917504,0.9342687091274073,-0.04075627232603807,0.2941034652665726,-1.3291159642620525,-1.3186527888708812,-0.010463175391171154,-1.3287250709964389,-1.3191224343211163,-0.009602636675322584,3.553848203714162,0.00046964545023508997,7.107696407428324,True,29.777703351449993,59.55540670289999,0.11934594692444983,True,True,True,False,0.15,0.35,2840.0061254581387,454.4099945131328,39.060950196661835
SupportShift,1.1,f9eed014185c116e636cc594e42a84cd34479191b134ee7dc3f9a16b1ed9159b,q10_nu1.5,joint,10,100,1.5,1.0,1.0,1.0,0.5,0.25,16261,161,101,0.05,9060616601754627066,d5207fb43cf63f5dfd68a443853a209e303f9aa2,False,naive,16,1600,0.025,90,0.6077485837942549,1.5811388300841898,1.6454172443428294,0.5935059760342877,1.6401652438608347,0.5893632336514004,1.669823191746585,-0.3922514162057451,0.5811388300841898,0.014242607759967219,-0.05902641377664497,-1.3032547119284914,-1.3188613030057834,0.015606591077292158,-1.3029799141915115,-1.3191224343211163,0.016142520129604876,4.512360431359074,0.00026113131533289646,9.024720862718148,True,29.777703351449993,59.55540670289999,0.15153487084286338,True,True,True,False,0.15,0.35,2840.0061254581387,454.4099945131328,39.060950196661835
SupportShift,1.1,f9eed014185c116e636cc594e42a84cd34479191b134ee7dc3f9a16b1ed9159b,q10_nu1.5,joint,10,100,1.5,1.0,1.0,1.0,0.5,0.25,16261,161,101,0.05,9060616601754627066,d5207fb43cf63f5dfd68a443853a209e303f9aa2,False,naive,16,1600,0.025,91,0.5795971442488158,1.6704997110617463,1.725336313200862,0.5935059760342877,1.6401652438608347,0.5893632336514004,1.669823191746585,-0.4204028557511842,0.6704997110617463,-0.013908831785471865,0.030334467200911597,-1.3401021957891879,-1.3185999040273055,-0.021502291761882307,-1.339611328034473,-1.3191224343211163,-0.020488893713356646,5.076801370537656,0.0005225302938107745,10.153602741075312,True,29.777703351449993,59.55540670289999,0.17594168142119856,True,True,True,False,0.15,0.35,2840.0061254581387,454.4099945131328,39.060950196661835
SupportShift,1.1,f9eed014185c116e636cc594e42a84cd34479191b134ee7dc3f9a16b1ed9159b,q10_nu1.5,joint,10,100,1.5,1.0,1.0,1.0,0.5,0.25,16261,161,101,0.05,9060616601754627066,d5207fb43cf63f5dfd68a443853a209e303f9aa2,False,naive,16,1600,0.025,92,0.5795971442488158,1.7328621078878659,1.725336313200862,0.5935059760342877,1.6401652438608347,0.5893632336514004,1.669823191746585,-0.4204028557511842,0.7328621078878659,-0.013908831785471865,0.09269686402703115,-1.3217896111834317,-1.319089560190593,-0.002700050992838763,-1.3217311026448966,-1.3191224343211163,-0.002608668323780214,1.231060757287014,3.2874130523330436e-05,2.462121514574028,True,29.777703351449993,59.55540670289999,0.059847232049646856,True,True,True,False,0.15,0.35,2840.0061254581387,454.4099945131328,39.060950196661835
SupportShift,1.1,f9eed014185c116e636cc594e42a84cd34479191b134ee7dc3f9a16b1ed9159b,q10_nu1.5,joint,10,100,1.5,1.0,1.0,1.0,0.5,0.25,16261,161,101,0.05,9060616601754627066,d5207fb43cf63f5dfd68a443853a209e303f9aa2,False,naive,16,1600,0.025,93,0.5795971442488158,1.6401652438608347,1.725336313200862,0.5935059760342877,1.6401652438608347,0.5893632336514004,1.669823191746585,-0.4204028557511842,0.6401652438608347,-0.013908831785471865,0.0,-1.3536050538813629,-1.3180932880706637,-0.03551176581069906,-1.3524066502348635,-1.3191224343211163,-0.033284215913747035,8.020135630611732,0.001029146250452584,16.040271261223463,True,29.777703351449993,59.55540670289999,0.2835107198393826,True,True,True,False,0.15,0.35,2840.0061254581387,454.4099945131328,39.060950196661835
SupportShift,1.1,f9eed014185c116e636cc594e42a84cd34479191b134ee7dc3f9a16b1ed9159b,q10_nu1.5,joint,10,100,1.5,1.0,1.0,1.0,0.5,0.25,16261,161,101,0.05,9060616601754627066,d5207fb43cf63f5dfd68a443853a209e303f9aa2,False,naive,16,1600,0.025,94,0.566014266387059,1.8307979005122494,1.7667399205025822,0.5935059760342877,1.6401652438608347,0.5893632336514004,1.669823191746585,-0.433985733612941,0.8307979005122494,-0.02749170964722869,0.1906326566514147,-1.325783746466865,-1.3189327267798567,-0.006851019687008303,-1.3256421734161112,-1.3191224343211163,-0.006519739094994814,2.118734946503173,0.00018970754125957612,4.237469893006346,True,29.777703351449993,59.55540670289999,0.07116796479117776,True,True,True,False,0.15,0.35,2840.0061254581387,454.4099945131328,39.060950196661835
SupportShift,1.1,f9eed014185c116e636cc594e42a84cd34479191b134ee7dc3f9a16b1ed9159b,q10_nu1.5,joint,10,100,1.5,1.0,1.0,1.0,0.5,0.25,16261,161,101,0.05,9060616601754627066,d5207fb43cf63f5dfd68a443853a209e303f9aa2,False,naive,16,1600,0.025,95,0.5795971442488158,1.6704997110617463,1.725336313200862,0.5935059760342877,1.6401652438608347,0.5893632336514004,1.669823191746585,-0.4204028557511842,0.6704997110617463,-0.013908831785471865,0.030334467200911597,-1.337477667365288,-1.3185999040273055,-0.018877763337982408,-1.3370897213544055,-1.3191224343211163,-0.017967287033288912,4.355445894288512,0.0005225302938107745,8.710891788577024,True,29.777703351449993,59.55540670289999,0.15554926545580258,True,True,True,False,0.15,0.35,2840.0061254581387,454.4099945131328,39.060950196661835
