dimension,kernel_family,smoothness,bandwidth,lag,decay_true,pair_pseudo_decay,pair_shift_coefficient,information_weight,composite_pseudo_decay,composite_decay_shift,composite_shift_coefficient,asymptotic_scale,predicted_composite_shift,composite_shift_ratio,minimum_composite_kl,minimum_kl_coefficient,predicted_minimum_kl,minimum_kl_ratio,quadrature_order
2,epanechnikov,1.0,0.01,2.0,1.0,0.9998712150119968,0.2456073859637817,0.06584968440464407,0.9996003816832388,0.00039961831676116333,0.8537958203972618,0.0004605170185988092,0.00039318750570147134,1.016355583446679,1.3040070745429233e-08,0.06923054480595785,1.4682131787763924e-08,0.8881592219664461,96
2,epanechnikov,1.0,0.02,0.5,1.0,0.9977957655965629,1.4334980067457765,0.2282457954138821,0.9986376803904365,0.001362319609563456,0.8537958203972618,0.0015648092021712584,0.0013360275565329942,1.0196792745044045,1.478956466738346e-07,0.06923054480595785,1.69519839334841e-07,0.8724385727012541,96
2,epanechnikov,1.0,0.02,1.0,1.0,0.9990256059137993,0.5718501593041607,0.14845048541115916,0.9986376803904365,0.001362319609563456,0.8537958203972618,0.0015648092021712584,0.0013360275565329942,1.0196792745044045,1.478956466738346e-07,0.06923054480595785,1.69519839334841e-07,0.8724385727012541,96
2,epanechnikov,1.0,0.02,1.5,1.0,0.9993848385174413,0.34596892244459604,0.09926728992630433,0.9986376803904365,0.001362319609563456,0.8537958203972618,0.0015648092021712584,0.0013360275565329942,1.0196792745044045,1.478956466738346e-07,0.06923054480595785,1.69519839334841e-07,0.8724385727012541,96
2,epanechnikov,1.0,0.02,2.0,1.0,0.9995528172083855,0.2456073859637817,0.06584968440464407,0.9986376803904365,0.001362319609563456,0.8537958203972618,0.0015648092021712584,0.0013360275565329942,1.0196792745044045,1.478956466738346e-07,0.06923054480595785,1.69519839334841e-07,0.8724385727012541,96
2,epanechnikov,1.5,0.005,0.5,1.0,0.9999702267132887,1.2000000000000004,0.35400682793569754,0.9999812105014377,1.8789498562266083e-05,0.7568094182831608,2.5e-05,1.892023545707902e-05,0.9930901021232258,3.783431901105416e-11,0.061664318298284185,3.854019893642762e-11,0.9816845801305331,96
2,epanechnikov,1.5,0.005,1.0,1.0,0.9999850756261104,0.6000000000000001,0.2478964030855706,0.9999812105014377,1.8789498562266083e-05,0.7568094182831608,2.5e-05,1.892023545707902e-05,0.9930901021232258,3.783431901105416e-11,0.061664318298284185,3.854019893642762e-11,0.9816845801305331,96
2,epanechnikov,1.5,0.005,1.5,1.0,0.9999900420235186,0.4000000000000001,0.17412261729873194,0.9999812105014377,1.8789498562266083e-05,0.7568094182831608,2.5e-05,1.892023545707902e-05,0.9930901021232258,3.783431901105416e-11,0.061664318298284185,3.854019893642762e-11,0.9816845801305331,96
2,epanechnikov,1.5,0.005,2.0,1.0,0.9999925283685809,0.3000000000000001,0.12235170558430003,0.9999812105014377,1.8789498562266083e-05,0.7568094182831608,2.5e-05,1.892023545707902e-05,0.9930901021232258,3.783431901105416e-11,0.061664318298284185,3.854019893642762e-11,0.9816845801305331,96
2,epanechnikov,1.5,0.01,0.5,1.0,0.9998818050043418,1.2000000000000004,0.35400682793569754,0.999925293282055,7.47067179449612e-05,0.7568094182831608,0.0001,7.568094182831608e-05,0.987127223052206,5.943360803506437e-10,0.061664318298284185,6.166431829828419e-10,0.9638249424500345,96
2,epanechnikov,1.5,0.01,1.0,1.0,0.9999406025337171,0.6000000000000001,0.2478964030855706,0.999925293282055,7.47067179449612e-05,0.7568094182831608,0.0001,7.568094182831608e-05,0.987127223052206,5.943360803506437e-10,0.061664318298284185,6.166431829828419e-10,0.9638249424500345,96
2,epanechnikov,1.5,0.01,1.5,1.0,0.9999603348823741,0.4000000000000001,0.17412261729873194,0.999925293282055,7.47067179449612e-05,0.7568094182831608,0.0001,7.568094182831608e-05,0.987127223052206,5.943360803506437e-10,0.061664318298284185,6.166431829828419e-10,0.9638249424500345,96
2,epanechnikov,1.5,0.01,2.0,1.0,0.9999702260885209,0.3000000000000001,0.12235170558430003,0.999925293282055,7.47067179449612e-05,0.7568094182831608,0.0001,7.568094182831608e-05,0.987127223052206,5.943360803506437e-10,0.061664318298284185,6.166431829828419e-10,0.9638249424500345,96
2,epanechnikov,1.5,0.02,0.5,1.0,0.999534303638809,1.2000000000000004,0.35400682793569754,0.9997050107324105,0.00029498926758952937,0.7568094182831608,0.0004,0.00030272376731326433,0.9744503056618903,9.169413894838385e-09,0.061664318298284185,9.86629092772547e-09,0.9293678812035863,96
2,epanechnikov,1.5,0.02,1.0,1.0,0.9997647812780296,0.6000000000000001,0.2478964030855706,0.9997050107324105,0.00029498926758952937,0.7568094182831608,0.0004,0.00030272376731326433,0.9744503056618903,9.169413894838385e-09,0.061664318298284185,9.86629092772547e-09,0.9293678812035863,96
2,epanechnikov,1.5,0.02,1.5,1.0,0.9998426584559937,0.4000000000000001,0.17412261729873194,0.9997050107324105,0.00029498926758952937,0.7568094182831608,0.0004,0.00030272376731326433,0.9744503056618903,9.169413894838385e-09,0.061664318298284185,9.86629092772547e-09,0.9293678812035863,96
2,epanechnikov,1.5,0.02,2.0,1.0,0.9998817951238718,0.3000000000000001,0.12235170558430003,0.9997050107324105,0.00029498926758952937,0.7568094182831608,0.0004,0.00030272376731326433,0.9744503056618903,9.169413894838385e-09,0.061664318298284185,9.86629092772547e-09,0.9293678812035863,96
2,epanechnikov,2.5,0.005,0.5,1.0,0.999994444648216,0.22222222222222224,0.4569960874618932,0.9999957964788175,4.203521182466474e-06,0.1687107886771636,2.5e-05,4.2177697169290905e-06,0.9966217846352715,7.624179065857106e-13,0.0012204172289867975,7.627607681167484e-13,0.9995504992582611,96
2,epanechnikov,2.5,0.005,1.0,1.0,0.9999958334081837,0.16666666666666666,0.3770829147450542,0.9999957964788175,4.203521182466474e-06,0.1687107886771636,2.5e-05,4.2177697169290905e-06,0.9966217846352715,7.624179065857106e-13,0.0012204172289867975,7.627607681167484e-13,0.9995504992582611,96
2,epanechnikov,2.5,0.005,1.5,1.0,0.9999966667071957,0.13333333333333333,0.297025871345874,0.9999957964788175,4.203521182466474e-06,0.1687107886771636,2.5e-05,4.2177697169290905e-06,0.9966217846352715,7.624179065857106e-13,0.0012204172289867975,7.627607681167484e-13,0.9995504992582611,96
