aspect_ratio,angle_degrees,smoothness,bandwidth,decay_true,decay_pseudo,decay_shift,implied_range_ratio,variance_factor,smoothed_correlation,asymptotic_scale,leading_coefficient,directional_contrast_coefficient_to_minor,leading_shift,coefficient_ratio,directional_kernel_variance,kernel_total_variance,support_radius,quadrature_order
1.0,15.0,0.5,0.013507384305907961,1.0,0.9891528071814709,0.010847192818529083,1.0109661447046159,0.9892114236375007,0.37189162151080074,0.013507384305907961,0.8040922786428688,5.551115123125783e-17,0.010861183425042458,0.9987118708923453,0.20000000000000004,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.018249932257366448,1.0,0.985350907870096,0.014649092129903951,1.0148668784012884,0.9854576764929424,0.37330820716220586,0.018249932257366448,0.8040922786428688,5.551115123125783e-17,0.014674629613903782,0.9982597527384518,0.20000000000000004,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.02465762577383602,1.0,0.9802196092966787,0.01978039070332127,1.0201795500882849,0.9804139334784361,0.37522868609458004,0.02465762577383602,0.8040922786428688,5.551115123125783e-17,0.019827006494406937,0.9976488739690071,0.20000000000000004,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.033315110446896494,1.0,0.9732966766832395,0.026703323316760508,1.027435954479737,0.9736499778259209,0.3778353815807246,0.033315110446896494,0.8040922786428688,5.551115123125783e-17,0.026788423072483844,0.9968232637101081,0.20000000000000004,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.04501230549401123,1.0,0.963961341112537,0.03603865888746305,1.0373860001956818,0.9646027377039226,0.38137911690156684,0.04501230549401123,0.8040922786428688,5.551115123125783e-17,0.036194047291648414,0.9957067966747886,0.20000000000000004,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.06081647692916287,1.0,0.9513818052078628,0.04861819479213725,1.051102716623338,0.9525438758237734,0.3862069917430703,0.06081647692916287,0.8040922786428688,5.551115123125783e-17,0.048902059513002034,0.9941952399614312,0.20000000000000004,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.08216961618567831,1.0,0.9344471007727172,0.0655528992272828,1.0701515357831124,0.9365466469077415,0.3928029859705423,0.08216961618567831,0.8040922786428688,5.551115123125783e-17,0.06607195391395203,0.9921440996380217,0.20000000000000004,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.11102000913282138,1.0,0.9116805215971139,0.08831947840288612,1.0968754693235794,0.9154590430812439,0.40184834145846954,0.11102000913282138,0.8040922786428688,5.551115123125783e-17,0.08927033211856245,0.9893486033589136,0.20000000000000004,0.4,1.4142135623730951,96
1.0,15.0,0.5,0.15,1.0,0.8811341584820024,0.11886584151799762,1.1349009573329638,0.887896736620782,0.41431274879411956,0.15,0.8040922786428688,5.551115123125783e-17,0.12061384179643031,0.9855074653754672,0.20000000000000004,0.4,1.4142135623730951,96
1.0,20.0,0.5,0.003,1.0,0.9975884135334266,0.0024115864665733566,1.0024174162749462,0.9975913190672323,0.3687676848608543,0.003,0.8040922786428688,5.551115123125783e-17,0.0024122768359286064,0.999713810063187,0.20000000000000004,0.4,1.4142135623730951,96
1.0,20.0,0.5,0.004053323392016948,1.0,0.9967420141673442,0.0032579858326557964,1.0032686349991753,0.9967473156285844,0.3690799417239152,0.004053323392016948,0.8040922786428688,5.551115123125783e-17,0.0032592460423633497,0.9996133431808544,0.20000000000000004,0.4,1.4142135623730951,96
1.0,20.0,0.5,0.005476476840090589,1.0,0.9955987076342081,0.004401292365791898,1.0044207493762727,0.9956083790751307,0.3695021545458841,0.005476476840090589,0.8040922786428688,5.551115123125783e-17,0.00440359274128334,0.9994776139333058,0.20000000000000004,0.4,1.4142135623730951,96
1.0,20.0,0.5,0.007399310560592744,1.0,0.9940544705343028,0.0059455294656971525,1.0059810902138002,0.9940721100448997,0.3700731942783194,0.007399310560592744,0.8040922786428688,5.551115123125783e-17,0.005949728489053263,0.9992942495840212,0.20000000000000004,0.4,1.4142135623730951,96
1.0,20.0,0.5,0.00999726619334953,1.0,0.9919689400729714,0.008031059927028572,1.008096080030931,0.9920011023003354,0.3708457985627601,0.00999726619334953,0.8040922786428688,5.551115123125783e-17,0.008038724553609744,0.9990465369810775,0.20000000000000004,0.4,1.4142135623730951,96
