sigma_11,sigma_12,sigma_22,sigma_13,sigma_23,sigma_33,alpha_11,alpha_12,alpha_22,alpha_13,alpha_23,alpha_33,nu_11,nu_12,nu_22,nu_13,nu_23,nu_33,tau_11,tau_12,tau_22,tau_13,tau_23,tau_33
0.253973005274769,0.0085860660428114,0.0509529627736478,-0.149209313779426,0.0411666870457659,0.915645550510856,0.139439574114835,0.160874142570626,0.196737752250475,0.0293024308109046,0.0294647645947243,0.0209526073836778,0.770191797553514,0.832636238595814,0.894439552971733,1.15186551531306,1.21416515412211,1.53330264184538,0.620766352003025,0.0,0.989947202281059,0.0,0.0,0.0973428109369523
8.83283582992094e-06,3.91540260477871e-05,0.965187825454695,-0.0002947678186356,-0.260646737128696,0.169146106954947,0.437806484831454,0.0157709687581918,0.0111553845093144,0.447515450809737,0.0157714166666579,0.45832188295386,1.02656022029621,0.698138258436898,0.368932072801134,0.564899811539612,0.235935257211914,0.102371743712112,1.03816759069616,0.0,0.0463505224134684,0.0,0.0,1.0065949228943
0.0236523664510888,1.6097771090949799e-12,0.236168966883406,-1.32007254536813e-14,-0.0832228423813837,0.102020088091216,58735.9459019158,0.162671650494713,0.115033738484351,0.127254659896891,0.100232192898188,0.0899862300478512,1.03060097974236,2.07338809725316,2.01852913452877,1.62332035783436,2.19728241976109,1.14551363924465,1.06434536389681,0.0,0.727289491003796,0.0,0.0,0.846329576519186
0.0529362849137809,-0.014427283186936,0.920588869707612,-0.0641566329184841,0.103103398072364,0.0997627255664716,0.261816067716626,0.0437978253283553,0.0311888218513569,0.271598506640574,0.0438413810972369,0.282637634504363,1.93117060669016,2.06987358221801,2.20819148572037,1.39445046046614,1.53307361814661,0.857631342228347,1.17706279182721,0.0,0.0051258394222858,0.0,0.0,0.926347759626843
1.01454237635152e-05,1.57090812104201e-14,3.01047007505406e-06,8.128373819891429e-12,-1.0722156032205699e-11,3.95964884484497e-06,0.164897921708374,0.233169174821297,922.212197189614,0.233159430777061,12.3668435582381,18.0306112480737,1.02993002819587,1.03526596452089,1.03060190084592,1.03526849968712,1.03560443601214,1.03060697117837,0.952401052508372,0.0,0.986029116964775,0.0,0.0,0.97929068984169
0.768808965035197,-0.049136187722732,0.0582648127536833,0.0979501739032783,0.0098270132187927,0.305899138397102,0.0157820997992072,0.0219464069223993,0.0852593155793129,0.0112618481864729,0.0129684650744431,0.0092235986106835,1.98045556123163,1.56335564860167,1.14285752358793,1.45079513080292,1.03221373316021,0.918152282010697,0.0104806585777621,0.0,1.02245899466959,0.0,0.0,0.6655567272565
1.65569058929999e-06,-5.69836932741722e-16,1.02600433494424,4.4992827514584104e-17,-0.131323499950812,0.178444149096861,374481.216782766,0.0350057538955586,0.0247528817831892,0.0099082950777334,0.0095337517816864,0.0070062243588725,1.03060165099704,1.2486527957308,1.45990715685294,1.00432851356738,1.21883473149339,0.971186624756957,0.86964497476561,0.0,0.0350202921333652,0.0,0.0,0.883434574652853
0.0097753177901042,0.0665865454398706,0.493165483604515,6.44055522440073e-06,4.28728474198863e-05,0.0290537538998216,0.0977782707843709,0.0819601094373396,0.0719580259237639,0.138273075836972,0.101761537526485,306.298598702179,1.41385806921001,1.96046167165408,2.4847680580622,1.21705433064697,1.75370170436099,1.00434637878373,1.01665610098207,0.0,0.510710410756085,0.0,0.0,0.856248075654121
1.00350682816245,0.044514480900955,0.116513875036385,0.0006545021609879,0.0075835298503124,0.0173645526242942,0.0178663169212593,0.0251660659519536,0.19952577087003,0.0252636243385575,0.277867319389169,1.13463414098483,1.6065053799662,1.42078787218518,1.2343134732923,1.56838829938395,1.38223699429223,1.52896586670855,0.0264507691467343,0.0,0.826781709268757,0.0,0.0,0.884818111111865
1.04193609974026e-06,-2.77574165010147e-17,0.836760872204214,2.6223533804771e-17,-0.13040232228484,0.903716344090239,2675436.38459043,0.0055585346643844,0.0039304778582292,0.0557831671595628,0.0055311430017515,0.0394449626140027,1.03060165103763,1.05296865921073,1.07196519671149,1.08447100363431,1.10505109063183,1.13491951417824,0.762401150583312,0.0,0.228523536920403,0.0,0.0,0.0134037097706559
0.873667014827122,-0.075892740969447,0.0227248682968064,-0.0594606328500279,0.0240811230091346,0.570211912905413,0.26220844035842,0.367199157751954,1.87137403031563,0.0387577612939287,0.0389670027306998,0.0275568468537267,0.129053083931938,0.20078778869405,0.272507821732773,0.152822828668623,0.224549962897907,0.176553587396631,0.0442465889007648,0.0,0.89741073752156,0.0,0.0,0.523717430385507
1.45437579467505e-06,-2.1504584806723402e-24,0.0081299383904104,1.20355501249358e-24,0.0182796040263197,0.843297020632436,78224737156086.7,0.156600118137799,0.110739789255345,0.0284302491881481,0.027973056544247,0.0201032625809219,1.03060223621406,1.15145345465278,1.25451663042292,1.52296468311369,1.63525887221454,1.99769356278577,0.933083715371812,0.0,0.788290868525037,0.0,0.0,0.0099881827431556
0.139439091359323,-0.0659795317437773,0.409617213336466,0.0362957116827335,-0.118454186391739,0.440350968570371,0.0643288932270792,0.0683037784152825,0.0731216013848887,0.0541921471422191,0.0565055443222834,0.0477079605200034,1.24136120384862,4.89786256935397,1.8673302491874,3.23842638674603,1.25815915748872,0.390268711745015,0.940417420238455,0.0,0.498542547691543,0.0,0.0,0.612114548552432
2.06546178322216e-06,-8.9736752910199e-05,0.191193581604966,4.46564571740329e-22,2.81077958617563e-20,0.0457798848437275,0.461986112853393,0.0779665576302465,0.0555283281640089,0.65265091874002,0.0785277041377746,689327055.454122,1.02551625480658,1.33931835256566,1.64316445492924,1.03304100738467,1.3418638138222,1.03060200080739,0.853860065061631,0.0,0.687301487353609,0.0,0.0,0.842945126233915
0.0538510151473022,0.164487396479561,0.844712671859807,-0.0131805314788257,-0.0918215474210227,1.08973562238619,0.0178012154614741,0.0241679711063588,0.0610416465519125,0.0249798138654278,0.079328088850703,0.142238290955239,1.15797708344363,0.693179248444125,0.228018764254676,0.697648835017781,0.232523299626601,0.236892686189634,0.98347442518927,0.0,0.0590184777141611,0.0,0.0,0.0277175745871206
0.0001938259836296,-0.0019233771070089,0.02534706097122,4.36081010889084e-08,-7.74785723744011e-07,1.44358352002194e-06,1.0896245241849,1.13882388089108,1.2021368134686,1.5329041862517,1.68957004223171,63.4554412380735,1.02780529904561,1.30714346353485,1.57734193862813,1.03389239689782,1.30861454683028,1.03055954919557,1.10570453163829,0.0,0.796975094419903,0.0,0.0,0.876623023380247
0.0133534221263638,-0.0334807217036943,0.0932465844765101,-0.0095704388258809,0.0156181272908199,0.0448498482962011,0.354659831085308,0.415827665423901,0.525917469131323,0.336720728217029,0.387718741254494,0.321323759228906,1.40783259695157,1.04872017320029,0.689304868516664,1.50247463472249,1.1430876320975,1.59602321318219,0.95239645029311,0.0,0.997721001747914,0.0,0.0,0.849420980615629
1.01711791821856,-0.0002704420137246,1.05267084435915,-0.135351784322119,0.0982268185390857,0.0916962284635131,0.0915818811831581,0.0277422669779278,0.0200829271278526,0.129408349607612,0.028400416054532,2.34448142854397,0.240630567106306,1.19704390920667,2.15336834082931,0.17582511738736,1.13222299908513,0.111002107995095,0.0466378822785929,0.0,0.0103917123475032,0.0,0.0,0.810630746801582
4.48926612819046e-05,-3.32419227185251e-25,0.048204388846683,-4.10293761031175e-27,0.0016198598675485,0.862254562003088,2.8529827271674924e+16,2.39564317463418,1.71882260749427,0.0667381077689456,0.0667129683917367,0.0471914941728369,1.03060165210276,1.26951746674488,1.50276845202862,0.869217918593329,1.10522326967137,0.702131276495553,0.765777718343941,0.0,0.97295514076497,0.0,0.0,0.0357128690943333
0.0140680753703762,5.41900112224299e-08,0.0139235703692718,-8.84833965040842e-21,-4.6074381149788e-19,2.7916160488997e-06,3590.12301324654,14.1395826029474,531.951851824284,14.1420807627099,14.1396374348826,8923532.69614203,1.03059438483825,1.03577279865046,1.03095121246267,1.03559801794729,1.0357764317595,1.03060165105632,1.19657018673374,0.0,0.932725072636704,0.0,0.0,0.956469814435639
0.115134837180397,-0.14000139633987,0.174234802540952,-3.17461071651067e-17,4.72010962128444e-17,0.0188840214388439,0.236450964881414,0.247622120629018,0.260584216777699,0.334330933173413,0.368446688741108,407261559.284683,0.217293443785295,0.23873618410025,0.260117349540894,0.624699554292633,0.646039507659385,1.03060182437262,0.80440047271315,0.0,0.673748243382091,0.0,0.0,0.97837775681155
1.29732290870477,-0.129534337778247,0.116617597568493,-0.0995675974783139,-0.0623790725138647,0.287613068989018,0.0249174128288291,0.035202506543728,0.551109143745151,0.0335374672316778,0.108203708315965,0.077261279578109,1.99758225364988,1.12687693119702,0.256089767219259,1.68617014697243,0.815429002416258,1.3746496025747,0.009821673673545,0.0,1.0364080520964,0.0,0.0,0.854960271358696
0.141686563158616,-0.0354712665298473,0.0152597484444981,0.0330535625743045,-0.017604397809465,0.0235196433342644,0.13861913471493,0.166379820254407,0.22247032762717,0.179198033066219,0.256308547024488,0.312538747659295,1.63503272910992,1.60576946434146,1.57566973886752,1.3907986519058,1.36108617093914,1.14591022236615,0.974736843106907,0.0,1.08258957460253,0.0,0.0,1.06549091706037
1.39910457138721e-06,1.9173670208231803e-15,0.939834412398483,8.99569247138013e-18,-0.0343114916507059,0.0022622144766807,809805424.692864,0.108690588947114,0.0768581097278928,0.129789511153148,0.083331426767104,0.091778887601621,1.03060165105432,0.747511787354032,0.447779069128635,1.1348435255251,0.843885948187155,1.22264732354996,0.715436945301747,0.0,0.03792277967027,0.0,0.0,0.908258456746377
0.0129301645217243,-3.0648643064771e-11,1.03619995522008e-05,4.39995969659254e-32,-2.09791301816771e-37,0.0151628723655429,275.869651861976,14.1328467821913,10283.1889210904,14.1328534559982,14.1421289367657,1899030263611923.0,1.03040608479563,1.03550386928141,1.03060165376719,1.03550377351662,1.0356015580024,1.03060146223762,0.902187660467587,0.0,0.962168900908097,0.0,0.0,1.00582256847592
