aspect_ratio,angle_degrees,smoothness,bandwidth,decay_true,decay_pseudo,decay_shift,implied_range_ratio,variance_factor,smoothed_correlation,asymptotic_scale,leading_coefficient,directional_contrast_coefficient_to_minor,leading_shift,coefficient_ratio,directional_kernel_variance,kernel_total_variance,support_radius,quadrature_order
1.0,20.0,0.5,0.0054764768400905,1.0,0.995598707634208,0.0044012923657918,1.004420749376273,0.9956083790751308,0.3695021545458841,0.0054764768400905,0.8040922786428688,5.551115123125783e-17,0.0044035927412833,0.9994776139333058,0.2,0.4,1.4142135623730951,96
1.0,20.0,0.5,0.0073993105605927,1.0,0.9940544705343028,0.0059455294656971,1.0059810902138002,0.9940721100448996,0.3700731942783194,0.0073993105605927,0.8040922786428688,5.551115123125783e-17,0.0059497284890532,0.9992942495840212,0.2,0.4,1.4142135623730951,96
1.0,20.0,0.5,0.0099972661933495,1.0,0.9919689400729714,0.0080310599270285,1.008096080030931,0.9920011023003354,0.3708457985627601,0.0099972661933495,0.8040922786428688,5.551115123125783e-17,0.0080387245536097,0.9990465369810776,0.2,0.4,1.4142135623730951,96
1.0,20.0,0.5,0.0135073843059079,1.0,0.9891528068944138,0.0108471931055862,1.0109661449980034,0.9892114236375008,0.3718916216175549,0.0135073843059079,0.8040922786428688,5.551115123125783e-17,0.0108611834250424,0.9987118973219842,0.2,0.4,1.4142135623730951,96
1.0,20.0,0.5,0.0182499322573664,1.0,0.9853509069136396,0.0146490930863604,1.0148668793863955,0.9854576764929424,0.3733082075192589,0.0182499322573664,0.8040922786428688,5.551115123125783e-17,0.0146746296139037,0.9982598179160062,0.2,0.4,1.4142135623730951,96
1.0,20.0,0.5,0.024657625773836,1.0,0.980219606110207,0.019780393889793,1.0201795534046572,0.980413933478436,0.3752286872902357,0.024657625773836,0.8040922786428688,5.551115123125783e-17,0.0198270064944069,0.9976490346827162,0.2,0.4,1.4142135623730951,96
1.0,20.0,0.5,0.0333151104468964,1.0,0.9732966660697244,0.0267033339302755,1.027435965683625,0.9736499778259208,0.3778353855908862,0.0333151104468964,0.8040922786428688,5.551115123125783e-17,0.0267884230724838,0.9968236599079372,0.2,0.4,1.4142135623730951,96
1.0,20.0,0.5,0.0450123054940112,1.0,0.9639613057752844,0.0360386942247156,1.0373860382245643,0.9646027377039226,0.3813791303784573,0.0450123054940112,0.8040922786428688,5.551115123125783e-17,0.0361940472916484,0.9957077730025334,0.2,0.4,1.4142135623730951,96
1.0,20.0,0.5,0.0608164769291628,1.0,0.951381687641733,0.0486183123582669,1.0511028465124037,0.9525438758237734,0.3862070371479342,0.0608164769291628,0.8040922786428688,5.551115123125783e-17,0.048902059513002,0.9941976440755091,0.2,0.4,1.4142135623730951,96
1.0,20.0,0.5,0.0821696161856783,1.0,0.934446710176454,0.0655532898235459,1.070151983103635,0.9365466469077416,0.3928031393979507,0.0821696161856783,0.8040922786428688,5.551115123125783e-17,0.066071953913952,0.9921500113182428,0.2,0.4,1.4142135623730951,96
1.0,20.0,0.5,0.1110200091328213,1.0,0.9116792273054726,0.0883207726945274,1.0968770265343932,0.915459043081244,0.4018488615677555,0.1110200091328213,0.8040922786428688,5.551115123125783e-17,0.0892703321185624,0.9893631019231128,0.2,0.4,1.4142135623730951,96
1.0,20.0,0.5,0.15,1.0,0.8811298915395589,0.1188701084604411,1.1349064531822255,0.887896736620782,0.4143145166465439,0.15,0.8040922786428688,5.551115123125783e-17,0.1206138417964303,0.985542842264056,0.2,0.4,1.4142135623730951,96
1.0,25.0,0.5,0.003,1.0,0.9975884135326832,0.0024115864673168,1.0024174162756931,0.9975913190672324,0.3687676848611285,0.003,0.8040922786428688,0.0,0.0024122768359286,0.9997138103714088,0.2,0.4,1.4142135623730951,96
1.0,25.0,0.5,0.0040533233920169,1.0,0.9967420141648664,0.0032579858351335,1.0032686350016693,0.9967473156285844,0.3690799417248296,0.0040533233920169,0.8040922786428688,0.0,0.0032592460423633,0.9996133439410902,0.2,0.4,1.4142135623730951,96
1.0,25.0,0.5,0.0054764768400905,1.0,0.9955987076259524,0.0044012923740476,1.0044207493846016,0.9956083790751308,0.3695021545489346,0.0054764768400905,0.8040922786428688,0.0,0.0044035927412833,0.9994776158080771,0.2,0.4,1.4142135623730951,96
1.0,25.0,0.5,0.0073993105605927,1.0,0.9940544705067912,0.0059455294932089,1.0059810902416422,0.9940721100448996,0.3700731942885008,0.0073993105605927,0.8040922786428688,0.0,0.0059497284890532,0.9992942542080592,0.2,0.4,1.4142135623730951,96
1.0,25.0,0.5,0.0099972661933495,1.0,0.9919689399812948,0.0080310600187051,1.008096080124098,0.9920011023003354,0.370845798596758,0.0099972661933495,0.8040922786428688,0.0,0.0080387245536097,0.9990465483854432,0.2,0.4,1.4142135623730951,96
1.0,25.0,0.5,0.0135073843059079,1.0,0.989152806588934,0.0108471934110661,1.01096614531022,0.9892114236375008,0.3718916217311603,0.0135073843059079,0.8040922786428688,0.0,0.0108611834250424,0.9987119254478202,0.2,0.4,1.4142135623730951,96
1.0,25.0,0.5,0.0182499322573664,1.0,0.9853509058957992,0.0146490941042009,1.0148668804347252,0.9854576764929424,0.3733082078992271,0.0182499322573664,0.8040922786428688,0.0,0.0146746296139037,0.9982598872765628,0.2,0.4,1.4142135623730951,96
