dimension,smoothness,bandwidth,decay_true,lag,exact_pseudo_decay,exact_decay_shift,leading_decay_shift,transition_pseudo_decay,transition_decay_shift,exact_to_leading_ratio,exact_to_transition_ratio,leading_relative_error,transition_relative_error,exact_variance_factor,transition_variance_factor,transition_variance_loss_relative_error,quadrature_order
2,0.7000000000000001,0.02,1.0,1.0,0.9955757792214588,0.004424220778541,0.0047419222398758,0.9955761019396612,0.0044238980603388,0.9330015455202612,1.00007294883333,0.0718095857412316,7.294351218586644e-05,0.9961615404078484,0.9961618289395496,7.51686176139498e-05,96
2,0.7000000000000001,0.05,1.0,1.0,0.9848245541291656,0.0151754458708344,0.0171029269232206,0.984831427225276,0.015168572774724,0.8873010999205463,1.0004531142258692,0.1270131414122504,0.0004529090063554,0.9868552809815816,0.9868615441599762,0.0004764786821085,96
2,0.7250000000000001,0.01,1.0,1.0,0.9985611600676472,0.0014388399323527,0.0015288133525459,0.9985611863154324,0.0014388136845676,0.9411481983438716,1.000018242657363,0.0625319176721468,1.824232457437811e-05,0.9987728440284755,0.9987728669437644,1.8673493452672467e-05,96
2,0.7250000000000001,0.02,1.0,1.0,0.9961797671256424,0.0038202328743576,0.0041768411692829,0.9961800448031178,0.0038199551968821,0.9146224909034392,1.000072691291166,0.0933472661624876,7.268600752625215e-05,0.996739340750057,0.996739586015867,7.521969981967336e-05,96
2,0.7250000000000001,0.05,1.0,1.0,0.9864070147897304,0.0135929852102697,0.0157710632486854,0.9864131504833782,0.0135868495166218,0.8618940267963681,1.0004515906090246,0.160235445321471,0.0004513867669994,0.9884034347339856,0.9884089717086624,0.000477466780021,96
2,0.75,0.01,1.0,1.0,0.9987886801056166,0.0012113198943833,0.0013124233445314,0.9987887021313996,0.0012112978686005,0.9229643006813942,1.0000181836222413,0.0834655243563947,1.818329160313718e-05,0.9989839360262676,0.998983955007846,1.868147951297436e-05,96
2,0.75,0.02,1.0,1.0,0.9966896551639,0.0033103448361,0.0037120937868228,0.9966898950356612,0.0033101049643387,0.8917729524644824,1.0000724665120675,0.1213616618853754,7.246126105259928e-05,0.9972197072127726,0.9972199166142492,7.531633990670552e-05,96
2,0.75,0.05,1.0,1.0,0.9877936031387564,0.0122063968612436,0.0146733390681495,0.9877990986098448,0.0122009013901552,0.8318758807761298,1.0004504151711977,0.2021024086754533,0.0004502123887075,0.9897409328028576,0.9897458444557264,0.0004787621305387,96
2,0.775,0.01,1.0,1.0,0.998975667038432,0.0010243329615678,0.0011387780919583,0.9989756856110328,0.0010243143889673,0.8995018158510084,1.0000181317384278,0.1117264939080877,1.8131409673824364e-05,0.9991547189273414,0.999154734735478,1.8701633206825955e-05,96
2,0.775,0.02,1.0,1.0,0.997121084879406,0.002878915120594,0.0033345374305849,0.9971212929604654,0.0028787070395346,0.8633626643947898,1.0000722828188229,0.1582618072800169,7.22775943946675e-05,0.9976200124830634,0.9976201920879212,7.546462180870122e-05,96
2,0.775,0.05,1.0,1.0,0.9890107765839296,0.0109892234160704,0.013798840993789,0.9890157155686476,0.0109842844313523,0.7963874227565051,1.000449641007474,0.2556702572458246,0.0004494389213046,0.9908984851136587,0.9909028574419978,0.0004803956696817,96
2,0.8,0.01,1.0,1.0,0.9991297692981406,0.0008702307018594,0.0010011247610336,0.999129785039774,0.0008702149602258,0.869252999956709,1.0000180893621369,0.1504130558649812,1.808903491750972e-05,0.9992932967394944,0.9992933099801647,1.8735827751086915e-05,96
2,0.8,0.02,1.0,1.0,0.9974869847448632,0.0025130152551368,0.0030348427708848,0.9974871660459984,0.0025128339540014,0.8280545138106348,1.00007215006588,0.2076499594188396,7.2144860623623e-05,0.9979544183544032,0.9979545731457944,7.567108924421925e-05,96
2,0.8,0.05,1.0,1.0,0.990081195955157,0.009918804044843,0.0131474101026596,0.9900856507537852,0.0099143492462149,0.7544302617316645,1.0004493283943772,0.3255035630525643,0.0004491265890479,0.9919021247510382,0.9919060311668396,0.0004824000964948,96
2,0.825,0.01,1.0,1.0,0.9992571380299866,0.0007428619700133,0.0008946933403736,0.9992571514453392,0.0007428485546607,0.8302978646327616,1.0000180593372934,0.2043870550507765,1.8059011159677384e-05,0.9994060891720062,0.9994061003292772,1.878610488496906e-05,96
2,0.825,0.02,1.0,1.0,0.9977980570009172,0.0022019429990828,0.0028078486694051,0.9977982157048066,0.0022017842951933,0.7842099978804516,1.0000720796718463,0.2751686444992816,7.207447674199195e-05,0.9982344848133604,0.9982346188913812,7.594271728763162e-05,96
2,0.825,0.05,1.0,1.0,0.9910243004712204,0.0089756995287795,0.0127342892948945,0.9910283336360576,0.0089716663639425,0.7048449521543466,1.0004495446746884,0.4187517367380116,0.0004493426750817,0.9927739428303728,0.99277744609384,0.0004848098188225,96
2,0.8500000000000001,0.01,1.0,1.0,0.9993627283844364,0.0006372716155637,0.0008168111615837,0.999362739883786,0.0006372601162139,0.7801945486739987,1.0000180449858906,0.2817315907930627,1.80446602749417e-05,0.9994981902115128,0.9994981996729538,1.8854636342539872e-05,96
2,0.8500000000000001,0.02,1.0,1.0,0.9980631743442104,0.0019368256557895,0.0026538272934676,0.9980633139494944,0.0019366860505054,0.7298235497679295,1.00007208462315,0.3701942069668507,7.207942733173403e-05,0.9984696612379994,0.9984697779827344,7.628685752476897e-05,96
2,0.8500000000000001,0.05,1.0,1.0,0.991856790482882,0.0081432095171178,0.0126000036536207,0.991860456241388,0.0081395437586119,0.6462862822089623,1.0004503641253957,0.5473019117504218,0.0004501613888553,0.9935327050913172,0.9935358589381476,0.0004876608960768,96
2,0.875,0.01,1.0,1.0,0.9994505387755964,0.0005494612244035,0.0007675734557406,0.9994505486932638,0.0005494513067362,0.7158418784472027,1.0000180501297065,0.3969565487970477,1.804980390526481e-05,0.9995736489263028,0.9995736570029712,1.8943704037469763e-05,96
2,0.875,0.02,1.0,1.0,0.998289703724746,0.0017102962752538,0.0025817990695047,0.9982898271640976,0.0017101728359023,0.6624436020042115,1.000072179459834,0.5095624698835003,7.217425033556108e-05,0.99866768289913,0.9986677851027576,7.671118805377839e-05,96
2,0.875,0.05,1.0,1.0,0.9925930338236656,0.0074069661763342,0.0128326826720948,0.9925963792816096,0.0074036207183902,0.5771954598737994,1.000451867818633,0.7325153600803522,0.00045166372633,0.9941943696214236,0.9941972201336552,0.0004909909942093,96
2,0.9,0.01,1.0,1.0,0.9995238011507668,0.0004761988492331,0.0007519237267896,0.9995238097598516,0.0004761902401483,0.6333073851336641,1.000018079086996,0.5790120618740974,1.8078760148756493e-05,0.9996356896222404,0.9996356965644244,1.905568598828441e-05,96
2,0.9,0.02,1.0,1.0,0.9984837710748592,0.0015162289251409,0.0026183504956497,0.998483880811918,0.0015161191880819,0.5790779071251247,1.0000723802322786,0.7268833566187567,7.237499375967151e-05,0.998834891331206,0.9988349813051588,7.722365754676083e-05,96
2,0.9,0.05,1.0,1.0,0.9932454086493272,0.0067545913506726,0.013624475645347,0.9932484748105126,0.0067515251894874,0.4957689034424967,1.000454143485987,1.0170688259312903,0.0004539373333041,0.9947725218818466,0.9947751086437834,0.0004948393619821,96
2,0.925,0.01,1.0,1.0,0.9995851325126788,0.0004148674873212,0.0007863108948779,0.9995851400368486,0.0004148599631513,0.5276125385310854,1.0000181366497398,0.8953302413624937,1.813632080767548e-05,0.9996868846559894,0.9996868906656182,1.9193019152705796e-05,96
2,0.925,0.02,1.0,1.0,0.9986504780739202,0.0013495219260798,0.0028346522310588,0.9986505761830284,0.0013494238169714,0.4760802440924925,1.0000727044440445,1.1004862361096437,7.269915849230452e-05,0.9989764934480444,0.9989765731100444,7.78324279843038e-05,96
2,0.925,0.05,1.0,1.0,0.9938245933012714,0.0061754066987286,0.0154414756590412,0.9938274159338498,0.0061725840661501,0.3999233515685942,1.0004572854007654,1.500479144510474,0.0004570763864068,0.9952787405180152,0.9952810975918868,0.0004992468387514,96
2,0.95,0.01,1.0,1.0,0.9996366557505278,0.0003633442494721,0.0009258000419872,0.9996366623734584,0.0003633376265415,0.3924651468930922,1.0000182280341052,1.5479969569690242,1.822770185015805e-05,0.9997292902538972,0.9997292954943326,1.9358133552203703e-05,96
2,0.95,0.02,1.0,1.0,0.9987940798944136,0.0012059201055865,0.003455207930961,0.998794168126284,0.0012058318737161,0.3490152053601877,1.0000731709554944,1.865204680604068,7.316560189742266e-05,0.9990967713297328,0.9990968422745596,7.8545809314357e-05,96
2,0.95,0.05,1.0,1.0,0.9943398118513131,0.0056601881486867,0.0197042634003788,0.9943424222254428,0.0056575777745573,0.2872570282722622,1.0004613942986604,2.481202900463762,0.0004611815121399,0.9957229052024534,0.9957250619527694,0.0005042559068936,96
2,0.975,0.01,1.0,1.0,0.999680096126942,0.000319903873058,0.001454593057534,0.999680101999908,0.0003198980000921,0.2199267151737678,1.000018358870295,3.546969199307519,1.835853325326729e-05,0.9997645533921372,0.999764557995942,1.955349849655635e-05,96
