path,size_kb,modified,cells,code_cells,md_cells,title,uses_core,read_h5ad,uses_cuda,uses_sklearn
notebooks/legacy/archived_code/38_MarginalFitting4_2.ipynb,14.5,2026-02-03,9,6,3,# Do the actual fitting marginally.  Separate the gene list into 4 subsets of 6 each.  Track also the time and memory usage in the meanwhile.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/38_MarginalFitting4_2_51279.ipynb,10.9,2026-02-03,9,6,3,# Do the actual fitting marginally.  Separate the gene list into 4 subsets of 6 each.  Track also the time and memory usage in the meanwhile.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/38_MarginalFitting4_3.ipynb,14.5,2026-02-03,9,6,3,# Do the actual fitting marginally.  Separate the gene list into 4 subsets of 6 each.  Track also the time and memory usage in the meanwhile.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/38_MarginalFitting4_3_51280.ipynb,7.7,2026-02-03,9,6,3,# Do the actual fitting marginally.  Separate the gene list into 4 subsets of 6 each.  Track also the time and memory usage in the meanwhile.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/38_MarginalFitting4_51281.ipynb,7.9,2026-02-03,9,6,3,# Do the actual fitting marginally.  Separate the gene list into 4 subsets of 6 each.  Track also the time and memory usage in the meanwhile.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_cpu_10_51276.ipynb,9.5,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_cpu_1_20241022_142522.ipynb,8.2,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_cpu_1_51276.ipynb,9.6,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_cpu_2_51276.ipynb,9.6,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_cpu_3_51276.ipynb,9.5,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_cpu_4_51276.ipynb,9.5,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_cpu_5_51276.ipynb,9.5,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_cpu_61732_1.ipynb,9.7,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_cpu_61732_10.ipynb,9.6,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_cpu_61732_2.ipynb,9.6,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_cpu_61732_3.ipynb,9.6,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_cpu_61732_4.ipynb,9.7,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_cpu_61732_5.ipynb,9.7,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_cpu_61732_6.ipynb,9.7,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_cpu_61732_7.ipynb,9.7,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_cpu_61732_8.ipynb,9.7,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_cpu_61732_9.ipynb,9.6,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_cpu_6_51276.ipynb,9.5,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_cpu_7_51276.ipynb,9.5,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_cpu_8_51276.ipynb,9.5,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_cpu_9_51276.ipynb,9.5,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_gpu_1_51515.ipynb,9.0,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_gpu_61733_1.ipynb,10.5,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_gpu_61733_10.ipynb,10.5,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_gpu_61733_2.ipynb,10.5,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_gpu_61733_3.ipynb,10.5,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_gpu_61733_4.ipynb,10.5,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_gpu_61733_5.ipynb,10.5,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_gpu_61733_6.ipynb,10.5,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_gpu_61733_7.ipynb,10.5,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_gpu_61733_8.ipynb,10.5,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/39_gpu_61733_9.ipynb,10.5,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/40_preprocessing_techniques.ipynb,3155.9,2026-02-03,12,11,1,# Compare different preprocessing strategies,"preambles,helper_functions,fitting_functions",0,0,1
notebooks/legacy/archived_code/NonStationary/01_Nychka.ipynb,8.9,2026-02-03,14,9,5,This implements Kleiber and Nychka JMVA nonstationary model.,"preambles,helper_functions",0,0,0
notebooks/legacy/ping_luo/39_cpu.ipynb,14.6,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/ping_luo/39_cpu_10_82785.ipynb,9.2,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/ping_luo/39_cpu_1_82785.ipynb,9.2,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/ping_luo/39_cpu_2_82785.ipynb,9.2,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/ping_luo/39_cpu_3_82785.ipynb,9.2,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/ping_luo/39_cpu_4_82785.ipynb,9.2,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/ping_luo/39_cpu_5_82785.ipynb,9.2,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/ping_luo/39_cpu_6_82785.ipynb,9.2,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/ping_luo/39_cpu_7_82785.ipynb,9.2,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/ping_luo/39_cpu_8_82785.ipynb,9.2,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/ping_luo/39_cpu_9_82785.ipynb,9.2,2026-02-03,10,7,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/ping_luo/39_gpu.ipynb,10.6,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/ping_luo/39_gpu_10_82784.ipynb,10.3,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/ping_luo/39_gpu_1_82784.ipynb,10.3,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/ping_luo/39_gpu_2_82784.ipynb,10.3,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/ping_luo/39_gpu_3_82784.ipynb,10.3,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/ping_luo/39_gpu_4_82784.ipynb,10.3,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/ping_luo/39_gpu_5_82784.ipynb,10.3,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/ping_luo/39_gpu_6_82784.ipynb,10.3,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/ping_luo/39_gpu_7_82784.ipynb,10.3,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/ping_luo/39_gpu_8_82784.ipynb,10.3,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
